nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
16	1	5	10	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-2.4084	5.51875	
No.	x-cord	y-cord
11	3.30355	-1.06913	
12	-5.07517	-2.91489	
13	2.22307	-2.35817	
14	0.0230994	-1.10003	
15	-0.295451	3.28756	
No.	p-weight	x-cord	y-cord	t-start	t-stop
1	7.03	-1.37724	-0.651851	6900	28500
2	3.44	0.60097	3.37707	4560	26160
3	1.83	-0.109376	-2.52044	3180	24780
4	3.8	2.02594	-0.142253	8820	30420
5	7.7	-0.0047088	0.15397	10680	32280
6	4.45	-4.72835	-4.73656	7860	29460
7	7.41	0.284449	-1.0676	13680	35280
8	2.75	-0.843178	-2.93203	1140	22740
9	5.44	-2.77649	-2.2626	9000	30600
10	6.74	-5.36497	-4.64684	3000	24600
