nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
162	2	10	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-4.09549	5.48537	
1	-4.13162	6.01489	
No.	x-cord	y-cord
152	-5.9329	0.631763	
153	0.199148	0.0406428	
154	1.63779	1.62018	
155	-1.01919	1.40916	
156	5.49993	5.04507	
157	0.261989	-0.0675077	
158	-4.65734	-3.98835	
159	2.4372	0.581664	
160	-1.93012	0.196157	
161	1.42652	2.59409	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.54	0.585662	-2.16175	8820	37620
3	5.01	1.15389	0.599971	14280	43080
4	1.16	0.616335	0.301685	1020	29820
5	3.3	1.29343	-0.924108	3720	32520
6	8	-0.382855	-1.58502	3840	32640
7	4.08	-3.98639	-4.3788	60	28860
8	6.14	-1.52374	2.87169	11040	39840
9	2.33	0.618853	-0.159424	21120	49920
10	5.52	-0.334906	0.886934	20580	49380
11	2.72	1.9049	2.56054	13800	42600
12	5.17	0.131389	-0.467355	23220	52020
13	2.59	0.179784	0.0423867	19140	47940
14	1.37	-3.31675	-5.99368	20100	48900
15	4.3	-4.65718	-5.7801	20640	49440
16	3.69	-1.21528	1.03532	24480	53280
17	1.46	0.662166	0.704792	11820	40620
18	4.91	0.588708	-1.17889	21420	50220
19	1.84	2.90407	-1.75918	660	29460
20	3.55	-2.6704	1.52352	3780	32580
21	7.03	1.72306	-0.201068	27660	56460
22	5.58	-2.188	2.16242	23700	52500
23	2.86	3.66594	1.21863	10680	39480
24	1.9	1.78992	2.12033	21780	50580
25	2.86	2.85673	3.43769	2400	31200
26	7.74	-6.10064	-3.46297	3900	32700
27	0.64	2.1141	-0.258208	27900	56700
28	0.5	3.1885	-0.0304444	10500	39300
29	5.38	-0.831719	0.577189	24480	53280
30	1.95	0.660767	-0.0186874	18420	47220
31	6.62	-1.6467	-0.866224	20160	48960
32	3.36	-0.156325	0.169999	2400	31200
33	1.22	-4.52853	-1.9319	2280	31080
34	4.24	2.04002	-1.24571	19620	48420
35	1.9	1.50722	2.9777	6360	35160
36	5.9	0.174716	0.337145	120	28920
37	3.52	-0.0637607	0.161849	16440	45240
38	4.05	2.69035	1.59573	11940	40740
39	7.5	0.0805786	-0.211299	4080	32880
40	5.13	-0.251855	-0.926095	8100	36900
41	3.79	-2.78892	-1.95615	11100	39900
42	2.41	-0.227481	-0.0291921	780	29580
43	0.76	1.64794	-1.87317	3540	32340
44	7.66	0.963889	2.8929	23820	52620
45	6.81	0.0429725	0.0931035	3180	31980
46	7.18	-1.41989	-1.7116	21180	49980
47	1.32	0.149205	0.669791	16140	44940
48	7.31	-5.24833	-4.65354	27480	56280
49	4.31	-0.100498	-0.0849804	13560	42360
50	1.39	0.091216	-0.582751	2160	30960
51	6.63	0.0830846	2.7651	11280	40080
52	7.79	-0.46296	2.4823	8520	37320
53	2.34	-0.325425	0.0427907	14160	42960
54	3.97	-0.773706	2.45553	21060	49860
55	4.82	1.05425	-0.885106	2940	31740
56	7.5	0.301741	-0.534078	240	29040
57	6.79	-0.13365	1.74314	12360	41160
58	6	-0.980214	0.535555	7020	35820
59	4.3	-0.593017	0.217755	1560	30360
60	7.78	2.25214	1.29173	2820	31620
61	5.03	1.62839	2.16311	4440	33240
62	3.41	-0.682781	-1.11442	11040	39840
63	6.3	-1.1338	2.16776	5040	33840
64	6.52	2.05753	0.526631	28260	57060
65	0.97	-1.26687	0.683973	5580	34380
66	6.45	-0.708231	-0.761367	23820	52620
67	0.15	1.69356	5.48767	22560	51360
68	3.37	-2.40033	-0.182032	3480	32280
69	5.53	2.59409	0.0260796	28200	57000
70	5.09	2.10344	-0.103936	9540	38340
71	4.42	1.16034	1.47931	25500	54300
72	5.78	-2.18307	1.29252	14580	43380
73	7.12	-1.10759	2.26107	14280	43080
74	8	0.378828	0.515237	2100	30900
75	4.25	0.367182	-0.021731	12000	40800
76	4.46	0.412645	0.452955	25560	54360
77	7.67	0.651756	0.402193	1320	30120
78	1.88	1.83963	-0.863728	1860	30660
79	0.24	-5.18245	-4.1193	4740	33540
80	3.44	-0.0310515	0.0117177	6120	34920
81	7.93	-3.5402	-5.15045	10740	39540
82	2.16	-3.22936	1.54425	16920	45720
83	5.87	-2.10254	2.07045	28560	57360
84	4.38	0.652915	-0.139583	1200	30000
85	4.28	0.300948	-1.35895	3120	31920
86	6.67	0.115138	-0.141203	21420	50220
87	3.85	-4.14738	-1.25653	1620	30420
88	1.13	-7.35742	-1.13152	22080	50880
89	5.18	0.154657	0.700233	360	29160
90	7.27	2.24938	-1.57781	23760	52560
91	3.69	-0.86981	0.325819	2160	30960
92	7.13	1.925	-0.101987	660	29460
93	2.64	0.414366	0.773051	2040	30840
94	6	-3.38628	1.93894	960	29760
95	3.1	-3.12437	-1.69138	4740	33540
96	3.25	-4.00082	-3.29204	3840	32640
97	5.35	-5.11533	-1.18058	7620	36420
98	6.22	-0.674271	3.38608	27480	56280
99	3.27	-1.04409	0.478065	9180	37980
100	5.25	0.223599	0.123977	6360	35160
101	7.64	-5.26436	0.671507	780	29580
102	7.64	-0.827692	2.66864	1260	30060
103	7.07	-0.632755	-2.55999	300	29100
104	6.01	-0.321185	-1.11037	16500	45300
105	3.37	-1.15077	1.96532	22020	50820
106	6.78	-0.121908	0.0156899	21240	50040
107	1.45	1.47614	1.09813	2160	30960
108	7.53	-0.00667448	0.0311076	24540	53340
109	2.62	0.113786	-0.154413	16200	45000
110	6.13	3.145	3.38538	60	28860
111	5.18	-2.3826	-1.09329	7320	36120
112	4.06	-2.29681	-0.698206	2880	31680
113	4.99	-2.23207	-2.31003	3480	32280
114	1.51	2.86081	-0.999798	18900	47700
115	6.03	1.81933	0.164563	6720	35520
116	5	0.980632	1.36133	10920	39720
117	2	-0.0716221	0.107953	18840	47640
118	7.09	0.249246	0.0664721	960	29760
119	5.5	0.10433	-0.0398958	4260	33060
120	3.91	-5.37012	-2.15236	3360	32160
121	6.48	2.93669	-0.836039	240	29040
122	3.67	-2.23215	0.946148	23520	52320
123	4.77	-2.19674	-1.99958	16500	45300
124	6.05	-0.161914	0.0542204	13740	42540
125	7.96	-0.980784	-0.199814	20220	49020
126	5.82	2.22234	0.248954	15060	43860
127	1.31	-0.381243	0.679492	7140	35940
128	7.3	-0.0874813	-0.165796	28440	57240
129	0.7	0.437198	-0.2883	12060	40860
130	3.18	-2.06412	-0.922143	13320	42120
131	3.71	-1.09792	0.682496	6180	34980
132	4.04	0.356906	-1.09411	4860	33660
133	6.86	-0.8788	-1.68972	26340	55140
134	7.74	1.63172	-0.195782	16380	45180
135	7.64	-2.16799	0.349365	27600	56400
136	6.06	-0.000167219	-0.108493	17340	46140
137	3.74	-0.050179	2.31764	22440	51240
138	0.84	0.31527	-0.162202	22200	51000
139	4.75	0.566091	-1.03552	12780	41580
140	2.92	2.03719	0.13194	24060	52860
141	2.45	-1.2832	-1.27854	4080	32880
142	5.09	1.64545	3.28942	11580	40380
143	0.19	-2.58883	-1.88071	960	29760
144	3.28	0.666879	0.995231	16800	45600
145	7.18	0.541311	-0.783064	23100	51900
146	2.25	-3.22065	-3.37926	17280	46080
147	4.87	-1.44277	-1.07856	9300	38100
148	6.76	0.892309	-0.883474	26460	55260
149	1.5	-6.57117	0.497049	1860	30660
150	7.23	-6.50908	-2.5867	4320	33120
151	5.54	2.34612	-1.49449	8460	37260
