nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
32	2	10	20	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	3.01867	-6.2139	
1	-6.29397	-0.193985	
No.	x-cord	y-cord
22	-0.134503	-0.28276	
23	-0.262436	-1.43956	
24	-5.74058	0.552299	
25	2.55534	-1.57091	
26	-3.63231	-4.61626	
27	-0.276498	-0.730874	
28	4.77786	-1.14972	
29	6.20593	-3.03814	
30	1.06198	-1.09871	
31	5.68139	-3.64802	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	1.69	-3.53889	-3.42881	11640	26040
3	4.4	-0.0533009	0.87571	11280	25680
4	3.16	2.55611	0.0423016	1020	15420
5	2.32	5.87454	0.658084	3840	18240
6	0.88	-1.25987	0.543707	7440	21840
7	3.6	1.83533	-2.19041	13620	28020
8	1.15	-0.103556	0.491155	4440	18840
9	1	2.90852	-1.23896	7620	22020
10	6.03	1.35818	0.481723	1500	15900
11	5.79	-0.19035	0.113391	9480	23880
12	7.34	-0.736481	-0.0829889	2040	16440
13	3.39	1.87986	0.709197	9060	23460
14	2.82	-0.870728	1.19335	10140	24540
15	5.86	-1.5748	-0.958758	600	15000
16	1.87	1.89588	-2.06546	1260	15660
17	4.78	0.580862	-1.20391	11160	25560
18	5.6	-0.523548	-1.61781	720	15120
19	7.31	-0.502471	1.29678	10800	25200
20	4.22	-4.72546	0.40257	7320	21720
21	6.33	0.0816232	-1.78438	4740	19140
