nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
122	2	20	100	25	6	4	4	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	4.59527	-4.52823	
1	4.55458	-5.04602	
No.	x-cord	y-cord
102	-1.97389	-0.233664	
103	3.46843	-4.66583	
104	-5.13588	-3.48074	
105	-0.92027	5.74651	
106	-0.0416705	-4.67624	
107	-4.28231	-5.47249	
108	0.959008	-5.76801	
109	0.309483	-0.222782	
110	6.15765	3.4905	
111	0.491583	0.0272806	
112	0.0642364	0.843072	
113	-0.376382	4.98658	
114	-0.377183	-0.273688	
115	2.29411	-2.45066	
116	4.71221	-1.52826	
117	6.76549	-2.87493	
118	6.3755	-0.0497168	
119	3.12361	5.90251	
120	3.47951	-2.54418	
121	0.0677464	3.44297	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	4.66	-0.582244	-2.63973	24840	32040
3	2.69	-0.859882	-0.535196	10140	17340
4	4.59	-0.292827	-0.339269	5040	12240
5	5.01	-1.86971	0.158698	17580	24780
6	5.4	-2.15858	-0.995886	4860	12060
7	0.45	-1.34178	0.561649	1800	9000
8	2.72	0.33782	-1.24263	3120	10320
9	7.96	-0.401812	-1.58316	25020	32220
10	6.26	1.05781	-1.32255	11880	19080
11	3	-0.283402	0.535241	19260	26460
12	4.62	-0.778387	-0.267546	23700	30900
13	0.81	0.697635	-0.898258	20400	27600
14	1.14	-0.665458	2.00197	20760	27960
15	1.22	-1.72524	1.24495	7200	14400
16	1.04	-0.735505	0.106683	27180	34380
17	1.68	0.918848	3.43146	13020	20220
18	4.15	1.604	1.50149	8160	15360
19	7.94	0.803408	-0.263499	24120	31320
20	4.75	0.636835	-1.452	10800	18000
21	5.56	0.337035	1.27814	23340	30540
22	3.66	-1.75148	-3.9931	1080	8280
23	1.8	-1.21575	-0.965227	21660	28860
24	1.63	-0.841603	-0.130723	23400	30600
25	2.86	-0.715004	-7.25013	9900	17100
26	2.46	-0.160796	0.148749	17100	24300
27	5.54	1.06352	-0.0351288	17460	24660
28	6.04	3.00916	-0.193541	18180	25380
29	7.62	4.57646	-3.25509	28500	35700
30	0.62	0.351643	-1.16414	15000	22200
31	0.24	1.59185	0.321357	27360	34560
32	7.87	-2.06125	-5.58298	28500	35700
33	2.25	-1.07439	0.338209	4140	11340
34	2.89	-0.811966	-0.736038	3420	10620
35	5.98	-6.69849	-1.41045	2700	9900
36	5.38	0.455078	-0.159647	11520	18720
37	2.68	-1.53454	-3.47314	120	7320
38	6.71	-0.549421	-0.297167	18240	25440
39	0.65	0.789805	-0.178879	17820	25020
40	6.2	0.390022	0.660175	11340	18540
41	4.33	0.0785501	-0.502025	14160	21360
42	0.98	-0.380474	0.549768	2580	9780
43	5.36	2.68976	3.44552	2880	10080
44	7.37	1.64282	-0.881328	3780	10980
45	3.1	-0.648986	-1.65681	26880	34080
46	6.98	3.64743	-2.76286	2220	9420
47	7.06	0.226648	3.5403	9660	16860
48	1.89	-0.548657	-0.476899	3180	10380
49	7.08	-2.89182	-1.02476	5640	12840
50	3.15	0.159801	-1.54661	9540	16740
51	6.04	1.0087	-0.683755	14160	21360
52	1.39	-0.0374195	-0.0290628	11760	18960
53	2.57	5.34997	2.98515	13080	20280
54	5.65	-0.931122	-0.0652973	27300	34500
55	3.71	2.27057	7.05769	21420	28620
56	5.4	-0.16671	0.606254	23580	30780
57	6.82	-2.55926	0.0746958	15840	23040
58	4.25	-0.00177021	-2.91284	4740	11940
59	3.43	-1.66351	-1.95383	20400	27600
60	3.6	-0.488303	-0.0553022	26220	33420
61	5.35	-0.622742	-0.927547	9060	16260
62	7.15	-0.719334	-0.445664	5880	13080
63	2.59	-1.37358	0.376113	14160	21360
64	4.31	-1.12606	-2.18879	17100	24300
65	2.05	-2.82768	-3.62474	24480	31680
66	5.08	1.55074	-0.866027	20340	27540
67	0.25	-0.00354341	-0.147133	14040	21240
68	1.81	0.298497	-0.896222	19140	26340
69	1.48	-1.92751	1.29406	12720	19920
70	4.46	1.80799	0.685701	17100	24300
71	3.99	0.213363	-0.541549	14580	21780
72	3.35	-1.47855	1.41758	19920	27120
73	7.99	4.01176	-1.82252	7080	14280
74	4.19	-2.1744	3.19232	300	7500
75	7.37	-0.130408	2.09944	22920	30120
76	3.57	-0.185771	0.615765	25740	32940
77	3.5	0.110283	0.00300947	2520	9720
78	7.2	-1.78362	-0.304138	4560	11760
79	7.27	0.749786	0.274237	1920	9120
80	0.25	-1.00466	1.34055	1260	8460
81	1.15	-1.63567	1.18249	13980	21180
82	5.75	6.04996	1.8216	5100	12300
83	2.21	1.46322	-1.22846	3540	10740
84	2.03	1.45685	0.430533	720	7920
85	2.98	-0.0478847	-0.29043	26820	34020
86	1.02	-0.210395	-1.92194	21120	28320
87	1.4	-0.0315904	2.36719	5940	13140
88	3.77	2.41093	-1.01759	24780	31980
89	2.11	0.316714	0.182046	18240	25440
90	1.71	-2.64677	-3.03693	20940	28140
91	6.94	-1.81151	2.71456	7200	14400
92	0.84	-0.694581	0.0845934	22560	29760
93	7.71	0.330842	-1.60206	27660	34860
94	3.38	0.174661	-0.468876	13140	20340
95	3.39	-1.51426	2.31045	9720	16920
96	1.09	-1.61962	0.00105545	960	8160
97	4.93	-0.0112236	-0.00460367	13980	21180
98	6.27	-1.14618	-0.110926	4200	11400
99	2.18	0.64504	1.03901	6840	14040
100	4.29	-3.62033	-5.05198	9600	16800
101	5.74	-3.36336	-4.85283	3240	10440
