nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
172	2	20	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	5.66473	-3.75939	
1	-1.28197	6.79812	
No.	x-cord	y-cord
152	-4.78223	-1.38101	
153	3.10572	1.60427	
154	2.08171	1.19829	
155	-0.483354	-6.10022	
156	3.3855	-2.56279	
157	-0.451308	0.605966	
158	-3.89328	0.964817	
159	0.505463	2.07414	
160	-2.59902	5.13182	
161	-0.0764016	-0.0564418	
162	0.545126	-0.059994	
163	3.43445	3.16545	
164	-6.67137	0.208477	
165	3.99663	-2.14408	
166	2.48168	-4.303	
167	0.000577328	-2.16025	
168	2.0417	0.551741	
169	-0.291981	0.0267855	
170	0.0874076	-0.85065	
171	-5.2272	-2.07199	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.11	0.930843	-1.76452	28680	50280
3	0.42	2.7259	1.03189	9120	30720
4	0.67	-2.47285	2.36821	12780	34380
5	3.59	0.655479	-1.3935	21240	42840
6	5.03	1.152	-0.624986	15480	37080
7	4.64	-0.731211	-0.0497637	16140	37740
8	4.23	4.46398	5.64526	21420	43020
9	6.72	-0.0107365	-0.0390648	16740	38340
10	3.97	-0.382584	0.11066	16800	38400
11	0.87	-2.32148	-4.26396	21240	42840
12	2.05	-0.109153	-1.12336	18900	40500
13	3.59	1.11667	1.33323	25620	47220
14	4.02	1.30322	0.246959	14460	36060
15	7.99	0.889421	0.350085	11520	33120
16	1.72	-0.211315	-0.304694	20460	42060
17	2.31	-0.188594	0.0162328	12120	33720
18	0.22	3.15854	-0.667222	16020	37620
19	5.65	-2.43676	0.854762	15540	37140
20	0.96	0.540902	-0.563961	21900	43500
21	2.29	0.788278	1.10692	23760	45360
22	5.16	-0.22564	0.196422	6060	27660
23	6.83	0.589625	-0.0161591	9960	31560
24	7.14	0.548199	0.489538	780	22380
25	6.09	-0.893572	0.974049	20700	42300
26	3.98	0.00645155	-0.0248105	7200	28800
27	4.78	-0.733465	-1.96658	8400	30000
28	4.95	1.30956	-0.0311497	10500	32100
29	5.92	0.586773	0.991094	12120	33720
30	1.38	2.07873	0.848942	16140	37740
31	0.29	-1.04494	-2.59721	14580	36180
32	3.53	-1.00198	2.31056	18240	39840
33	5.28	3.3804	2.7002	3540	25140
34	0.36	1.76589	0.0895968	16020	37620
35	7.32	-2.59332	-0.572656	3000	24600
36	3.07	4.95013	0.745982	20640	42240
37	5.3	-1.32771	-0.0283133	23520	45120
38	3.71	-2.53315	-5.44217	5100	26700
39	5.76	0.781779	-1.84315	15180	36780
40	6.6	-0.785804	-0.412796	24660	46260
41	5.9	1.60825	1.43886	1200	22800
42	4.12	2.83551	3.81099	10920	32520
43	7.28	0.626807	0.351182	19080	40680
44	0.41	0.547278	2.50984	13680	35280
45	1.2	1.89679	1.95828	15060	36660
46	2.69	-0.422817	1.41521	1980	23580
47	2.84	1.27265	1.10237	10140	31740
48	6.6	-0.177753	-0.764701	17100	38700
49	3.5	-1.87602	-0.0869025	6840	28440
50	5.27	1.56879	-1.68489	2100	23700
51	1.83	1.32115	1.64359	2040	23640
52	3.07	-0.285688	1.60096	22260	43860
53	1.67	0.413139	1.43784	7140	28740
54	4.75	4.35159	0.101898	27600	49200
55	6.46	1.19993	0.440836	720	22320
56	3.34	-1.27961	1.17266	660	22260
57	1.45	-2.99235	-1.3593	1500	23100
58	1.07	-1.51343	-0.356456	16560	38160
59	6.34	0.270887	-0.175854	2640	24240
60	3.59	-2.45578	-1.01233	20520	42120
61	2.62	2.92801	0.728236	10920	32520
62	3.06	0.750016	0.198868	4800	26400
63	0.2	-1.41323	-4.37077	6300	27900
64	5.22	0.117854	3.33283	6720	28320
65	3.68	0.540911	0.641494	19140	40740
66	2.17	-2.66018	-1.16283	27180	48780
67	1.83	-0.755858	0.147998	3120	24720
68	4.99	-1.88645	-1.89304	22500	44100
69	2.72	0.0486827	0.0812985	5280	26880
70	5.49	1.37699	-2.54029	3840	25440
71	5.35	-0.400665	-0.579496	26520	48120
72	7.08	-1.39447	1.24391	8580	30180
73	1.92	-1.37722	5.59433	20940	42540
74	2.95	0.124022	0.18992	12540	34140
75	0.44	0.0206935	0.135302	3900	25500
76	2.18	0.904942	-1.21134	17940	39540
77	0.48	-2.85311	-0.881155	10980	32580
78	3.78	0.260902	-0.165989	15600	37200
79	3.53	0.666531	-1.42346	22440	44040
80	2.23	-2.00273	-0.498707	24600	46200
81	0.59	0.549672	-0.0435293	5820	27420
82	2.96	-0.774821	0.0528229	2100	23700
83	2.45	-0.179587	0.0718087	360	21960
84	4.28	0.175766	-0.185984	2880	24480
85	0.53	-1.09176	-1.50242	22140	43740
86	5.46	1.49731	-1.51979	4860	26460
87	7.47	-0.505159	-0.148993	15720	37320
88	6.16	0.0670872	0.0394412	12300	33900
89	0.11	-0.88017	-1.65382	16020	37620
90	2.63	0.315343	2.4675	14280	35880
91	3.52	-1.28041	2.0805	9480	31080
92	0.8	-0.0205051	0.53933	12540	34140
93	3.35	-1.68035	1.71186	14160	35760
94	6.99	0.759052	0.117878	27000	48600
95	2.2	-0.126642	-0.0197843	27960	49560
96	3.58	1.31458	1.61653	23880	45480
97	6.59	3.48463	0.522014	18960	40560
98	3.8	-4.79126	-0.329073	2520	24120
99	4.27	-2.42091	-1.05987	25320	46920
100	7.18	2.22519	-3.2768	600	22200
101	7.73	-0.931634	-0.017946	12420	34020
102	1.28	0.94969	-2.06772	15900	37500
103	1.84	0.107131	-0.0139481	7500	29100
104	6.42	0.882121	0.880412	2460	24060
105	5.51	0.514575	0.0612237	14220	35820
106	3.86	1.27924	-0.524844	1200	22800
107	3.4	-2.15098	-0.348427	21660	43260
108	0.93	-0.458224	1.0893	22740	44340
109	2.07	1.57864	2.21094	16560	38160
110	1.29	-1.41623	-1.90705	17940	39540
111	5.92	-1.71654	-0.446492	22140	43740
112	6.19	1.37327	-0.278649	13260	34860
113	2.38	1.0511	4.30152	26640	48240
114	0.11	-0.517691	1.56168	9120	30720
115	1.11	0.650213	-0.0886186	26640	48240
116	1.69	-0.00158903	0.0393368	28020	49620
117	1.33	-0.152165	0.255172	1200	22800
118	3.86	0.0585461	0.0392719	15420	37020
119	1.39	2.32695	-1.26336	1680	23280
120	4.23	-0.0241153	-0.0105504	19680	41280
121	5.03	1.58927	-0.518062	8640	30240
122	1.36	0.653124	1.23586	15660	37260
123	7.37	0.227281	1.59018	13380	34980
124	7.96	0.17555	2.46668	22260	43860
125	6.18	1.47064	-0.363037	3060	24660
126	7.21	2.88477	5.50676	120	21720
127	2.07	-0.137856	-0.255141	12960	34560
128	0.63	-6.05627	0.347617	28440	50040
129	6.05	1.51999	-0.786465	1620	23220
130	4.83	1.68972	-2.23669	23880	45480
131	5.28	0.328616	-1.09506	20700	42300
132	3.06	-0.452044	1.57931	1080	22680
133	0.93	-4.7765	-3.25986	1560	23160
134	6.97	0.538923	-2.8064	18660	40260
135	3.63	0.236904	-0.311848	4380	25980
136	2.65	2.44819	1.88157	9720	31320
137	4	0.679724	-1.25303	13320	34920
138	1.33	-2.69358	-1.27507	26820	48420
139	0.59	-1.15418	0.442222	8640	30240
140	3.25	0.403837	-0.5187	28500	50100
141	3.61	-1.73983	2.04397	10740	32340
142	6.3	2.3958	1.94676	15480	37080
