nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
222	2	20	200	25	6	4	6	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.19471	-3.55862	
1	-6.72798	1.2013	
No.	x-cord	y-cord
202	-4.35938	3.31651	
203	-0.420022	2.46764	
204	-2.68346	-1.79213	
205	3.90712	0.68192	
206	3.98575	-2.53752	
207	4.35842	3.78193	
208	1.96297	5.60083	
209	-1.21509	1.48382	
210	0.626601	-0.555339	
211	1.37864	2.00425	
212	-1.63262	4.64191	
213	3.54862	-5.61608	
214	-4.08098	-0.319224	
215	-2.67724	-0.780019	
216	-4.30048	-3.4455	
217	6.37865	3.56123	
218	-3.0303	-0.213456	
219	-2.52727	2.28692	
220	3.77234	-0.7701	
221	-0.516518	-2.26437	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	3.2	-3.99833	-1.50828	1560	30360
3	1.68	0.0950058	0.00634977	480	29280
4	5.08	0.0549863	0.127093	4440	33240
5	5.05	0.741533	-0.114346	20640	49440
6	6.63	0.312982	0.396518	19320	48120
7	6.37	-4.65849	-1.10859	3540	32340
8	6.57	-0.43899	-0.180672	18000	46800
9	4.11	1.40308	-1.67645	28500	57300
10	5.36	2.41897	-2.35383	22800	51600
11	5.63	1.59026	0.204624	24960	53760
12	8	3.01642	-0.401915	8400	37200
13	7.69	-0.214065	-1.84966	4200	33000
14	2.34	3.17281	-0.701946	4380	33180
15	1.39	-1.42992	-0.89757	25020	53820
16	3.64	-2.83848	1.50331	22440	51240
17	7.52	0.151822	1.8751	3720	32520
18	1.68	-1.26164	1.04275	24840	53640
19	5.27	2.02821	-2.86807	26220	55020
20	4.75	-1.55963	-2.75071	17700	46500
21	5.01	2.15613	-0.7341	11820	40620
22	3.36	0.33859	0.294659	11220	40020
23	6.93	0.383104	0.250582	19560	48360
24	5.21	0.0316172	0.0496051	23160	51960
25	4.82	-0.865977	-0.304864	4020	32820
26	6.97	-0.398715	0.893331	19140	47940
27	1.98	-0.85806	1.2112	10320	39120
28	2.93	0.363576	-0.311602	12060	40860
29	7.86	1.2482	1.71129	14400	43200
30	5.95	-0.66195	-1.65093	12960	41760
31	3.38	0.747987	1.38239	26220	55020
32	3.46	1.83284	0.977399	12420	41220
33	4.73	-0.0936266	0.0401075	25140	53940
34	2.96	-0.875321	-0.151395	3960	32760
35	5.15	0.205315	0.254026	11400	40200
36	2.21	-0.479072	0.809344	2340	31140
37	7.22	-0.00548947	0.0785462	25500	54300
38	6.26	0.619364	1.32018	19020	47820
39	1.05	0.22109	-0.611778	7500	36300
40	7.28	-0.0657544	0.417613	27840	56640
