nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
72	2	20	50	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	3.33657	-6.60199	
1	-6.47808	-0.265248	
No.	x-cord	y-cord
52	-0.229932	0.214898	
53	-0.766406	1.29385	
54	0.00107316	0.0620196	
55	-1.84449	4.87645	
56	3.29285	2.13183	
57	5.22465	-3.53253	
58	6.07497	-3.8874	
59	1.92197	3.20735	
60	2.84828	-1.02285	
61	2.42521	1.48845	
62	1.44422	0.869949	
63	-3.69835	-2.96119	
64	-1.17891	4.5216	
65	0.736495	-6.0382	
66	-2.49418	-3.78502	
67	0.00458512	-0.131989	
68	-3.06263	-1.67556	
69	1.82388	3.104	
70	1.62992	-1.55171	
71	-2.55723	1.0394	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	6.6	3.42861	2.46425	25380	46980
3	4.05	-4.30421	-2.68083	7260	28860
4	0.26	-0.0337571	-0.230782	13920	35520
5	4.81	-1.67796	-0.877591	6300	27900
6	1.73	1.31997	0.691357	6780	28380
7	2.3	0.172479	0.13871	7200	28800
8	7.26	-0.919737	-1.39497	26100	47700
9	3.52	1.06024	0.122656	420	22020
10	0.45	1.46505	-4.30801	19380	40980
11	1.47	-2.79165	3.09075	19800	41400
12	4.34	-0.0257287	-0.0695539	12780	34380
13	4.45	0.665486	-0.0618655	17040	38640
14	1.41	-1.82311	-1.5981	26940	48540
15	2.9	-0.26338	0.595298	3120	24720
16	2.09	0.105829	-0.854782	14400	36000
17	0.32	-2.53549	1.34183	26040	47640
18	0.22	1.02786	0.93614	5400	27000
19	6.39	0.120318	0.702531	22680	44280
20	4.47	-0.305203	-0.00906213	22860	44460
21	4.83	-0.729603	-0.298471	6240	27840
22	0.93	-0.186461	1.23482	19140	40740
23	1.46	-2.04542	-0.691373	6060	27660
24	6.46	0.426556	0.234668	24060	45660
25	7.13	3.38078	1.22291	28260	49860
26	5.57	1.14848	0.647899	6180	27780
27	6.71	0.763749	1.04531	8160	29760
28	7.03	-0.529691	-4.81101	4020	25620
29	2.95	1.90588	2.11607	13800	35400
30	3.79	-0.124182	-0.268892	19680	41280
31	0.58	3.34592	-2.5975	20100	41700
32	4.87	-0.285736	1.40243	17640	39240
33	4.36	-3.81542	-3.72359	18060	39660
34	0.31	2.13748	-1.84842	3660	25260
35	4.39	-0.0548476	-0.452636	4200	25800
36	5.89	0.457551	0.559286	2580	24180
37	4.16	0.259329	0.756524	23100	44700
38	2.32	0.165613	3.56728	22020	43620
39	0.49	-0.15881	0.0272928	5040	26640
40	0.43	-2.47123	-2.29386	11940	33540
41	7.13	0.0493309	0.367735	15360	36960
42	4.8	0.282922	-3.58883	840	22440
43	5.02	1.446	-4.97955	4980	26580
44	0.28	2.08605	-1.12853	4920	26520
45	0.44	0.00304542	-0.084176	15060	36660
46	5.4	0.848477	-2.68491	7140	28740
47	2.94	-1.7401	-1.42599	15660	37260
48	0.11	0.00699478	-1.31403	28800	50400
49	2.3	-0.125864	0.0514149	2340	23940
50	2.1	-0.178944	1.50418	14700	36300
51	4.2	1.97189	-4.45726	17520	39120
