nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
27	2	5	20	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	2.10383	6.94144	
1	-5.51015	-2.76633	
No.	x-cord	y-cord
22	4.64001	-2.56398	
23	-1.66154	2.13949	
24	0.79832	6.5866	
25	-6.00574	4.41819	
26	-3.47451	4.79453	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.64	-1.8248	-0.0894378	13980	35580
3	7.89	4.04485	-0.569556	2400	24000
4	1.5	-5.32503	4.89409	1500	23100
5	1.57	5.5425	-3.23013	10020	31620
6	4.57	-3.63545	0.879269	9060	30660
7	4.63	-0.55814	0.049375	4980	26580
8	6.2	2.66637	-2.39001	11400	33000
9	3.15	4.8387	-4.60886	3180	24780
10	7.8	1.91611	5.46712	1080	22680
11	1.26	0.191438	0.301139	1020	22620
12	0.17	2.39708	-1.01686	5640	27240
13	0.27	1.10614	1.4776	7260	28860
14	2.09	6.15055	-3.76316	12180	33780
15	6.53	-0.247417	0.891472	13680	35280
16	3.83	-4.32847	1.23795	6960	28560
17	2.54	-1.88027	4.2192	10080	31680
18	0.99	2.56058	-3.10016	2040	23640
19	3.89	-0.715144	1.1258	2520	24120
20	2.59	6.23533	-3.3021	4140	25740
21	2.93	-1.82228	3.04161	6840	28440
