nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
113	3	10	100	25	6	4	4	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	0.24078	-7.25659	
1	-5.43759	3.1583	
2	-4.00706	4.62673	
No.	x-cord	y-cord
103	-0.536288	-4.63152	
104	2.21743	-0.216756	
105	2.06356	2.86844	
106	1.50989	1.88657	
107	-1.12555	2.56256	
108	5.08592	-3.76038	
109	3.94748	1.66875	
110	0.508232	-0.955161	
111	-0.386701	-3.25595	
112	-6.88889	0.664943	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	0.44	3.43686	0.140825	7080	35880
4	6.97	-0.101093	0.0208905	18180	46980
5	1.68	0.105309	-0.1717	25260	54060
6	4.06	-0.276404	-0.757524	18240	47040
7	6.45	1.20733	-0.139816	15420	44220
8	5.75	-1.25902	0.595597	27960	56760
9	0.68	0.617075	-1.47813	5220	34020
10	2.93	-0.52111	0.185062	28200	57000
11	6.61	-2.36775	-1.56086	16080	44880
12	2.31	0.0465544	-0.0385237	19260	48060
13	4	2.74866	1.72427	19860	48660
14	1.49	-2.20952	1.78362	8520	37320
15	6.5	-1.08367	0.599655	3420	32220
16	7.08	0.130185	0.0666617	10440	39240
17	4.37	-0.656581	-0.0321806	2700	31500
18	5.6	-0.0548893	1.32184	4500	33300
19	4.71	-2.12902	-0.0206791	28560	57360
20	7.24	-0.230625	-0.470437	360	29160
21	3.46	1.97207	-0.460898	2040	30840
22	1.91	0.452197	-1.36709	12480	41280
23	2.98	1.17696	-5.01841	420	29220
24	5.16	-0.87003	-2.36926	27660	56460
25	6.52	-4.67727	1.03923	26700	55500
26	7.16	1.44017	-1.95056	20580	49380
27	4.36	5.58194	2.25687	9960	38760
28	2.94	-1.73255	-0.306572	27000	55800
29	5.25	-0.839907	-0.386293	19380	48180
30	0.86	0.356177	0.342883	28080	56880
31	2.62	-0.154339	0.325031	6240	35040
32	1.37	0.554906	0.227389	7320	36120
33	6.61	-0.0187928	4.87484	14400	43200
34	4.4	1.44496	0.954943	14700	43500
35	6.82	1.40347	0.30198	7380	36180
36	7.12	0.999738	-0.439944	180	28980
37	4.41	0.236857	0.13216	5760	34560
38	0.53	1.0558	3.75916	2520	31320
39	3.62	0.174727	0.272704	27780	56580
40	2.44	-0.443706	0.265027	23160	51960
41	0.62	0.447483	0.748238	600	29400
42	5.01	0.498941	-0.536533	10620	39420
43	3.72	-1.54166	1.53184	14700	43500
44	0.2	0.27439	-0.0200925	9720	38520
45	5.34	0.0132595	0.000653624	1740	30540
46	7.18	0.569408	3.98222	14160	42960
47	2.39	-1.37573	-5.28068	9480	38280
48	4.98	0.836057	1.95313	15660	44460
49	0.39	-0.299489	1.76282	25080	53880
50	1.84	0.242766	-0.247612	23040	51840
51	0.7	-1.74601	1.2806	4860	33660
52	2.08	-0.243571	-0.874248	8460	37260
53	4.01	1.55284	-3.20363	3960	32760
54	6.32	0.470101	-0.342837	27660	56460
55	1.63	-1.86156	-2.10685	14040	42840
56	0.63	-0.642592	1.52277	11880	40680
57	6.1	-2.95943	-2.72269	26820	55620
58	7.59	-0.640217	-0.692397	3720	32520
59	4.25	-0.0236179	3.08075	20340	49140
60	1	-1.12453	1.98361	7200	36000
61	1.06	3.29521	-0.98183	17940	46740
62	7.93	-1.94935	5.22851	28320	57120
63	5.11	2.65525	-2.12639	27120	55920
64	3.91	1.44708	-2.99926	19560	48360
65	1.23	0.29195	0.49081	360	29160
66	4.79	1.1538	0.538576	5520	34320
67	5.34	1.80311	-2.39113	3420	32220
68	3.8	-0.694045	-6.05682	11640	40440
69	0.59	-1.24929	-0.0474058	25140	53940
70	4.2	-1.37798	0.354198	25920	54720
71	0.47	3.14606	-0.252097	23400	52200
72	2.65	-0.825086	1.68835	600	29400
73	4.69	-0.0163491	-0.0529234	3300	32100
74	0.12	-3.57539	1.57326	25200	54000
75	1.85	0.0612277	1.52638	1620	30420
76	6.01	-0.800924	0.980427	2820	31620
77	1.19	2.60865	0.109176	3420	32220
78	0.79	-0.844027	0.425712	28740	57540
79	5.25	-1.30592	0.6489	4440	33240
80	4.51	0.831307	2.08782	2280	31080
81	0.87	-3.4582	3.18628	2040	30840
82	3.35	0.987896	-2.43931	3180	31980
83	3.02	0.0594763	0.789719	24360	53160
84	2.01	0.690682	4.38408	18360	47160
85	5.29	2.75879	-1.56767	6060	34860
86	7.65	0.37686	1.31466	1080	29880
87	5.09	0.110604	-0.413248	2280	31080
88	0.29	0.497976	-0.305321	11460	40260
89	2.45	-0.943036	-1.0815	8160	36960
90	3.12	-0.931107	0.272027	23580	52380
91	2.73	0.299135	-0.201602	27600	56400
92	3.16	-0.857166	1.55905	25320	54120
93	6.44	-2.3395	1.83086	540	29340
94	4.29	-0.0630929	-3.78896	27360	56160
95	2.73	-1.16242	0.472472	20040	48840
96	5.51	2.53922	0.567108	15840	44640
97	4.82	2.92923	0.202015	9600	38400
98	5.1	3.85092	1.50272	3420	32220
99	3.89	0.0871989	0.0127232	5040	33840
100	3.25	-4.64519	0.311148	15840	44640
101	4.85	0.806389	0.724452	11640	40440
102	5.78	1.15251	3.96338	21240	50040
