nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
163	3	10	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-4.54825	-3.97487	
1	4.58252	5.70093	
2	-6.37854	-3.40379	
No.	x-cord	y-cord
153	-0.146634	-0.204108	
154	-0.103156	-1.08554	
155	-0.803472	-0.0852093	
156	-1.8692	4.13109	
157	4.66241	3.06373	
158	1.81705	-1.43661	
159	-6.7629	-0.46026	
160	1.40322	0.709148	
161	-5.61885	-1.99309	
162	-1.68525	-7.17284	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	2.37	0.649677	-2.07704	1380	30180
4	6.01	-0.377496	-0.951438	25860	54660
5	3.4	0.0227535	2.24689	24300	53100
6	7.64	4.5871	1.08327	14820	43620
7	4.7	-0.933328	1.52463	2340	31140
8	5.23	-4.65637	1.55445	10020	38820
9	7.33	3.30332	0.800808	21300	50100
10	5.87	-0.249784	-0.215044	19080	47880
11	7.74	1.36036	0.0645927	5640	34440
12	7.63	0.152149	-1.3681	22740	51540
13	0.22	0.2039	-0.472168	13380	42180
14	0.48	0.53096	-0.477906	28080	56880
15	5.46	1.87846	-1.30541	420	29220
16	5.26	-0.0794374	0.0836518	5940	34740
17	0.95	0.0003803	0.106433	27540	56340
18	3.5	-0.307375	-0.120244	17160	45960
19	5.38	-0.82715	2.69539	26100	54900
20	7.73	1.72647	1.33358	21540	50340
21	4.45	-2.25853	5.35591	9360	38160
22	2.16	-0.633236	-0.388176	14760	43560
23	7.79	0.816323	-0.400205	480	29280
24	6.15	4.96419	3.62221	14520	43320
25	5.02	0.281034	0.748732	19020	47820
26	6.55	3.68579	4.37168	3600	32400
27	0.96	0.37433	-1.68333	21600	50400
28	2.44	-1.1753	1.59587	26880	55680
29	2.69	-5.45127	-1.93901	11880	40680
30	5.02	-1.47159	-1.42743	11640	40440
31	0.43	-0.0833604	0.257865	2340	31140
32	3.79	0.247071	-0.690001	26040	54840
33	7.46	1.29926	-1.53946	11460	40260
34	1.35	2.08092	-1.12743	10260	39060
35	5.4	0.0458086	-0.264782	3000	31800
36	1.34	-0.974459	-2.89298	8340	37140
37	5.69	0.414371	0.74305	27780	56580
38	5.14	-2.79627	-1.77279	15600	44400
39	0.87	2.68769	-0.822601	2940	31740
40	3.16	-0.465515	0.987331	19320	48120
41	2.04	-0.0794729	-0.106625	12180	40980
42	5.75	-0.943684	-2.7216	3840	32640
43	4.41	3.66902	-1.10744	7620	36420
44	4.36	-2.52409	1.12875	17400	46200
45	1.54	-1.58017	-2.47391	1260	30060
46	2.37	2.624	-2.02841	27240	56040
47	5.56	-2.05644	5.88676	1920	30720
48	4.84	-0.281715	1.57587	21060	49860
49	1.52	0.391235	0.709554	21660	50460
50	2.02	-0.0833446	0.473386	28020	56820
51	3.68	0.150985	-4.90116	20280	49080
52	0.26	0.86406	-2.68114	27900	56700
53	0.83	0.431647	-1.16721	1560	30360
54	1.6	0.194981	3.78653	18000	46800
55	2.53	-0.151277	4.6339	7560	36360
56	4.21	-0.880743	-3.38069	19440	48240
57	5.12	-2.52653	-6.44523	13440	42240
58	2.25	0.0025583	0.00322948	24540	53340
59	5.56	0.604725	1.16354	10620	39420
60	7.23	5.32357	4.14724	10020	38820
61	0.62	-4.91824	-1.46464	13560	42360
62	1.1	-1.20329	-2.0518	23580	52380
63	4.84	1.31878	-2.22365	14880	43680
64	5.77	5.24172	2.38841	4200	33000
65	2.2	2.64204	0.698949	17580	46380
66	6.68	-0.314527	3.69647	7980	36780
67	0.8	-1.98593	3.59932	16320	45120
68	1.97	3.46212	3.25263	10140	38940
69	6.5	-6.03622	-1.6217	14460	43260
70	2.23	-2.14005	-0.515344	14160	42960
71	0.46	3.26251	1.55025	23940	52740
72	3.58	0.888258	0.0102602	19260	48060
73	5.49	-2.39467	-6.41457	12660	41460
74	4.16	-0.582655	-0.684425	2760	31560
75	4.35	2.12236	0.0585772	25740	54540
76	0.37	0.100707	-0.264375	3840	32640
77	6.1	0.104403	0.209334	20700	49500
78	5.12	0.916756	-0.793779	21420	50220
79	5.32	1.34737	1.43662	21000	49800
80	6.33	0.212207	5.13073	7080	35880
81	4.75	0.0439381	0.00905871	960	29760
82	1.15	0.643795	-2.08654	14880	43680
83	1.45	-0.922887	-5.97316	4380	33180
84	5.21	2.59843	-0.654535	6240	35040
85	2.9	-0.0659189	1.60934	180	28980
86	6.49	-1.99826	-0.424412	10740	39540
87	6.03	-2.55561	5.5959	24360	53160
88	2.55	2.37619	2.05073	22920	51720
89	6.15	-1.35607	5.64635	7260	36060
90	3.37	2.0059	-0.355242	24180	52980
91	2.09	2.3343	0.313568	13620	42420
92	6.1	-1.21038	0.061896	25020	53820
93	7.49	-0.0909184	-0.947367	12000	40800
94	3.81	-0.257127	0.0772693	13980	42780
95	7.8	-0.243087	-0.675624	8460	37260
96	3.18	-0.861612	0.901443	18180	46980
97	2.26	-0.428183	-0.356423	10500	39300
98	5.97	-2.00692	4.0394	11460	40260
99	7.92	-0.115379	0.299933	27480	56280
100	2.31	0.302178	-2.70328	4140	32940
101	1.71	0.0610669	0.408143	23880	52680
102	7.33	5.71738	1.84406	15180	43980
103	1.43	0.427674	-2.30866	27480	56280
104	7.4	0.228931	0.294884	6540	35340
105	5.31	-1.20487	1.21861	2820	31620
106	1.69	-2.97628	1.73715	23820	52620
107	7.47	-0.562466	2.77749	16680	45480
108	6.66	-0.82705	4.64829	14760	43560
109	0.58	1.21791	-0.690662	17820	46620
110	0.56	-4.30928	2.64564	20400	49200
111	7.29	0.444867	-1.70821	10560	39360
112	6.1	0.796099	-0.478047	6240	35040
113	5.18	0.31393	1.02153	9840	38640
114	5.48	-0.673629	1.41884	4080	32880
115	5.7	-0.33072	-0.130305	9360	38160
116	6.7	-1.09219	2.29342	2940	31740
117	6.89	3.53227	2.14639	20100	48900
118	5.05	-0.145992	0.850007	17940	46740
119	2.16	2.0019	-1.2761	14160	42960
120	7.1	3.30761	0.0196171	6300	35100
121	4.47	-1.06947	-3.75601	3720	32520
122	6.73	-0.265315	-3.50961	11160	39960
123	2.92	3.10708	-3.66803	4260	33060
124	5.43	-1.51028	-1.42807	480	29280
125	4.67	-2.21179	-4.74093	24300	53100
126	7.41	0.508903	-1.87236	20880	49680
127	5.63	0.937474	0.162718	26880	55680
128	4.22	4.66031	1.5353	23340	52140
129	7.61	0.276614	0.688821	22440	51240
130	2.33	3.67009	3.85301	19740	48540
131	4.44	-1.93258	1.66229	26520	55320
132	4.48	0.196891	-0.365292	600	29400
133	5.91	3.5175	-1.34509	26160	54960
134	5.4	0.011617	-1.09265	3120	31920
135	1.86	1.10222	3.36403	15960	44760
136	6.35	2.9416	2.5464	4140	32940
137	7.73	-2.84225	-1.96328	23160	51960
138	3.83	3.63263	0.471803	27900	56700
139	2.45	-1.88398	-0.692212	24540	53340
140	2.39	-0.538468	0.272185	14340	43140
141	5.12	0.159653	-2.64893	540	29340
142	1.21	-0.259213	0.928579	3660	32460
143	0.51	7.10823	2.37719	3180	31980
144	5.98	3.43128	4.09673	28140	56940
145	1.29	1.03516	-0.904928	10080	38880
146	5.34	-2.21265	-1.48531	7260	36060
147	7.69	-0.0816429	0.0605179	18060	46860
148	7.87	0.232212	-2.39347	25200	54000
149	2.84	-0.299356	0.151085	3300	32100
150	0.55	0.440761	0.0164634	17280	46080
151	2.03	0.16038	-2.60944	1320	30120
152	5.5	-4.00592	3.11568	25440	54240
