nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
213	3	10	200	25	6	4	6	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.63728	-4.86489	
1	7.13022	1.6009	
2	1.84517	5.80619	
No.	x-cord	y-cord
203	-6.35263	-2.21506	
204	2.99496	-4.51692	
205	-0.146069	2.26473	
206	0.0412563	-0.803027	
207	2.8513	4.91843	
208	-0.289757	4.47089	
209	-2.26339	-4.73377	
210	-2.50295	-6.37924	
211	1.92644	-5.3505	
212	0.30041	0.135053	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	7.68	0.916538	0.645216	16020	23220
4	0.25	1.05496	0.144326	15840	23040
5	1.49	-0.56412	-0.334811	23040	30240
6	0.47	0.0752639	-0.0960146	27180	34380
7	6.38	-1.87991	-1.50172	19320	26520
8	7.42	0.132347	0.542345	3300	10500
9	6.85	-0.480938	-0.934827	16260	23460
10	4.89	1.26547	0.636658	28560	35760
11	6.6	-0.155278	0.7268	19920	27120
12	2.29	-0.434957	0.168557	3600	10800
13	4.68	-0.105625	-0.368076	10440	17640
14	6.85	1.5347	-6.8169	2040	9240
15	1.81	1.04909	-1.553	23400	30600
16	6.7	-0.134362	-0.293434	11400	18600
17	6.17	0.667687	0.969503	7080	14280
18	2.56	0.989712	-0.473307	20880	28080
19	4.55	-0.352746	1.11732	8280	15480
20	5.65	-0.863533	0.361521	9540	16740
21	5.67	0.952241	-0.341688	720	7920
22	4.82	0.128167	-0.0949984	11460	18660
23	4.7	1.12151	0.16257	26760	33960
24	7.99	0.928185	-3.33995	12420	19620
25	3.58	3.00031	-4.82735	20100	27300
26	4.02	0.442093	-0.241562	14880	22080
27	4.03	-1.03187	-2.30038	27540	34740
28	4.44	0.822764	-0.514261	21720	28920
29	1.27	1.16363	0.827007	540	7740
30	3.08	-0.917881	4.8825	3480	10680
31	7.1	0.525015	0.125128	8040	15240
32	6.33	-1.04411	0.627018	17400	24600
33	0.56	-2.23111	0.447857	27180	34380
34	4.2	0.167838	-1.81858	28500	35700
35	5.29	-0.108207	1.28501	5460	12660
36	7.83	-0.450021	0.465269	12960	20160
37	5.52	-0.11902	-0.000739446	4860	12060
38	4.19	0.0319085	-0.116565	18420	25620
39	4.06	0.574089	-0.817973	14520	21720
40	7.34	1.95717	-0.997374	21420	28620
41	7.96	0.702537	-0.267946	14640	21840
42	2.88	-0.716399	2.41824	9300	16500
43	2.19	2.6894	1.75238	3180	10380
44	4.79	-0.605251	2.32138	24540	31740
45	1.94	-1.72726	-1.19852	24840	32040
46	7.69	0.289534	-0.591956	6960	14160
47	4.48	2.29247	1.30327	12480	19680
48	7.22	1.90955	2.16646	24660	31860
49	2.98	2.61293	-2.10269	3300	10500
50	2.93	-0.0609811	0.402833	1680	8880
51	4.48	1.15307	-0.234715	2340	9540
52	0.22	1.6854	1.08192	960	8160
53	4.44	-0.189106	-0.0125263	600	7800
54	5.72	-1.47464	0.0658099	4740	11940
55	1.29	1.96454	-4.69836	17400	24600
56	7.04	-4.42463	-5.76326	12300	19500
57	0.33	0.0383068	0.0286537	17100	24300
58	2.06	-0.0729669	0.10843	12240	19440
59	0.43	0.321406	1.25666	14520	21720
60	2.81	-1.56699	-0.260462	16740	23940
61	6.82	1.12772	0.205399	2340	9540
62	3.63	-1.88894	0.98733	2400	9600
63	6.76	-0.244802	-1.5336	720	7920
64	3.6	-0.516963	0.512711	13680	20880
65	0.81	-1.94277	-0.899254	18900	26100
66	1.78	-2.55246	0.220348	300	7500
67	2.15	0.763821	2.67024	14940	22140
68	4.12	0.269592	-0.224592	5340	12540
69	0.21	-2.16865	1.27687	16500	23700
70	4.97	2.10388	0.143245	25200	32400
71	0.63	2.4226	1.74577	420	7620
72	7.67	-1.61131	-0.149649	14820	22020
73	7.74	2.60316	-0.84336	10020	17220
74	3.13	0.284532	-0.157574	28740	35940
75	3.14	0.500098	-0.0760311	1440	8640
76	7.78	0.118134	0.184733	19080	26280
77	6.7	-1.10879	-0.465594	23580	30780
78	5.43	-2.11378	0.0314673	21720	28920
79	3.24	1.57531	-0.3632	11820	19020
80	4.79	-1.41136	0.579099	17520	24720
81	5.27	0.438078	-0.37451	15720	22920
82	1.52	0.170157	-1.35491	25440	32640
83	2.81	-0.167071	-0.524752	9960	17160
84	1.11	-1.1372	-1.68628	20520	27720
85	0.12	-0.354315	1.57546	600	7800
86	4.39	2.66883	-1.83939	4020	11220
87	2.76	2.70362	-0.325087	22020	29220
88	4.67	-0.711133	-0.48716	13200	20400
89	1.51	-1.32997	1.38244	14400	21600
90	4.45	1.51691	0.28843	10260	17460
91	4.1	-1.34389	-2.11503	7320	14520
92	0.79	-0.299226	0.858978	7560	14760
93	3.56	-0.165303	-0.891897	11820	19020
94	0.67	-1.86686	-1.62002	15780	22980
95	1.81	0.505012	0.0898319	6480	13680
96	1.48	0.16746	-3.11526	20100	27300
97	6.31	-0.627653	-0.733287	14100	21300
98	7.72	1.76434	-2.03347	12540	19740
99	4.6	-1.16453	0.750162	27900	35100
100	5.77	0.792062	1.02778	2340	9540
101	2.91	-0.524285	1.28589	14040	21240
102	3.39	0.512365	3.12634	27780	34980
103	0.57	-0.173041	-2.15147	26400	33600
104	3.37	2.67502	-1.05869	12060	19260
105	7.04	1.23282	1.71479	2520	9720
106	6.98	0.0978253	5.30749	480	7680
107	1.55	-0.422649	1.17512	15540	22740
108	2.81	-0.0253606	-0.0905904	1020	8220
