nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
223	3	20	200	25	6	4	6	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	6.19924	0.231919	
1	4.64953	-4.68294	
2	1.54526	-6.89194	
No.	x-cord	y-cord
203	-0.499948	-1.00754	
204	-0.492245	0.117495	
205	3.11554	1.82774	
206	-3.6409	1.85126	
207	-1.62035	-3.10226	
208	5.07999	4.98722	
209	1.45862	6.14193	
210	-2.07621	-6.23069	
211	-4.83388	0.60189	
212	-3.9197	-5.869	
213	3.15679	2.36005	
214	1.55452	-4.30989	
215	-0.945978	-2.72274	
216	4.71624	0.218331	
217	-3.89232	-1.06555	
218	-1.92991	1.59911	
219	2.7946	5.11815	
220	-3.01633	3.69469	
221	-0.151157	3.35233	
222	5.31516	4.71547	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	3.29	-0.282501	-0.214617	26220	33420
4	1.89	0.10679	0.151836	7320	14520
5	4.59	-0.373002	1.24424	19320	26520
6	7.21	0.689501	-0.201186	4620	11820
7	5	-2.02706	2.7267	6000	13200
8	4.27	-0.0599945	0.590929	1860	9060
9	4.49	-0.131903	-1.28257	1320	8520
10	1.58	-3.57857	3.98842	3840	11040
11	2.01	-2.90799	-0.258732	23580	30780
12	2.99	0.0274117	-1.93163	14820	22020
13	3.14	0.0227684	-1.91704	22020	29220
14	6.96	-3.04126	-0.941337	5400	12600
15	6.97	-0.315141	0.28317	27000	34200
16	4.62	0.63651	1.52285	21060	28260
17	5.61	-2.6973	-1.17045	16560	23760
18	2.48	-3.49026	-3.10759	1500	8700
19	5.58	2.07198	-1.01804	7260	14460
20	6.8	0.606304	3.48397	6840	14040
21	0.95	-0.677921	-2.57444	18420	25620
22	6.08	-1.26935	-5.00127	11160	18360
23	3.63	2.5153	2.89829	240	7440
24	7.81	-1.77409	-0.202042	27180	34380
25	1.7	1.14337	-1.37535	27960	35160
26	3.6	0.704425	-0.876558	23520	30720
27	7.05	4.41892	-0.305272	14760	21960
28	1.15	-0.444947	-0.622789	5700	12900
29	5.71	0.14219	0.194609	12480	19680
30	7.18	-1.85702	-2.3498	180	7380
31	1.88	-0.6818	-0.342774	7260	14460
32	4.36	-0.370526	-2.32965	1260	8460
33	4.33	-0.586903	0.130749	3780	10980
34	5.02	0.244711	2.46492	24000	31200
35	1.25	-0.522822	-5.66312	23820	31020
36	2.85	-0.841844	-3.07053	3600	10800
37	6.19	-0.348552	0.576701	2820	10020
38	6.57	1.30445	0.996986	14280	21480
39	1.7	-0.210819	-0.105527	23520	30720
40	2.43	-1.03849	-0.204219	13980	21180
41	3.09	0.347584	-1.8372	720	7920
42	0.77	-2.54637	-2.96219	3480	10680
43	2.54	0.117627	1.79682	25260	32460
44	5.29	0.31156	-0.617818	1080	8280
45	1.75	0.288607	-1.04584	8340	15540
46	7.53	-1.11544	1.45215	26340	33540
47	0.68	-2.86908	-1.27962	14880	22080
48	3.13	-1.78434	2.58	25020	32220
49	4.19	0.0745007	0.277189	19020	26220
50	1.8	0.490794	0.356803	1440	8640
51	7.65	-1.79659	-1.24032	16860	24060
52	5.52	-2.63013	0.94292	1320	8520
53	7.21	0.347036	-0.60838	20100	27300
54	7.79	2.48098	4.03839	19500	26700
55	1.96	1.59071	-1.64675	11580	18780
56	1.21	-0.897985	-0.0925139	12300	19500
57	7.43	-0.103503	1.69887	25560	32760
