nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
73	3	20	50	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.10494	-4.35842	
1	-6.12051	-2.99138	
2	3.97003	-5.06844	
No.	x-cord	y-cord
53	3.5949	5.75999	
54	4.88472	0.507708	
55	-0.467073	0.258837	
56	1.20328	-2.41676	
57	1.48468	2.27975	
58	-5.37917	3.27576	
59	1.91746	-3.65023	
60	0.406199	6.14622	
61	0.48903	-2.6353	
62	2.58736	2.23834	
63	5.18184	2.77498	
64	2.06966	2.49658	
65	1.75275	-2.03109	
66	-3.1017	2.61979	
67	-2.89804	-2.28145	
68	-0.198103	0.771032	
69	2.13281	3.85446	
70	-0.998239	0.882098	
71	-0.346904	0.0928963	
72	6.50932	-1.89713	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	1.37	-0.131227	-0.092325	2820	24420
4	4.9	1.05232	2.65687	6120	27720
5	5.86	0.720827	-1.33177	9000	30600
6	2.93	0.191063	-0.777051	12840	34440
7	2.94	0.242445	0.656612	10680	32280
8	4.99	-0.266123	0.0388539	24960	46560
9	7.66	0.195007	0.927083	26640	48240
10	7.8	-0.209904	2.25212	5220	26820
11	0.2	0.6125	-0.304799	28260	49860
12	2.14	-1.95355	-0.274904	26040	47640
13	3.4	1.27952	-0.845356	28140	49740
14	4.71	-0.536488	0.0387972	12540	34140
15	1.41	-0.497664	2.73169	4020	25620
16	1.5	2.01869	3.02814	11760	33360
17	3.61	3.53594	-3.41671	20700	42300
18	2.28	2.16325	0.523581	9960	31560
19	6.52	-0.505517	-1.28158	12180	33780
20	4.72	2.06017	0.185055	20160	41760
21	2.16	-3.89531	1.48302	20280	41880
22	7.74	0.24168	1.30421	15420	37020
23	4.01	-0.33815	0.818964	720	22320
24	1.64	-2.85807	4.02155	11880	33480
25	6.13	-0.303103	-0.815011	720	22320
26	2.8	1.0586	0.531422	27360	48960
27	5.9	-0.305422	-0.298559	13320	34920
28	6.34	-2.07352	0.851404	21480	43080
29	4.16	7.20478	0.649856	13140	34740
30	2.82	0.564627	-1.72214	21000	42600
31	4.27	-2.08827	2.03825	25680	47280
32	6.42	-0.0222123	-0.00552383	22980	44580
33	6.64	1.43963	-0.440126	3360	24960
34	2	1.06509	-0.166763	8640	30240
35	1.04	1.47372	-2.08949	14160	35760
36	0.15	0.00602104	-0.303905	23160	44760
37	7.47	-4.34167	4.8444	24660	46260
38	2.68	-1.03351	-0.454697	28020	49620
39	4.61	-1.24032	-2.40054	2400	24000
40	3.87	0.242296	-0.57846	16620	38220
41	5.38	-1.13561	-1.95508	2100	23700
42	4.72	1.81451	-4.45794	10320	31920
43	5.97	-0.256844	-1.58428	16200	37800
44	3.6	-5.12161	4.06672	21840	43440
45	4.47	4.54616	-1.83511	25620	47220
46	7.3	-0.0622281	0.0195717	21180	42780
47	7.81	0.101916	0.0964346	24300	45900
48	7.4	1.03768	0.473921	2580	24180
49	1.17	-2.12439	1.82153	12420	34020
50	5.71	-0.518573	-0.0643753	6420	28020
51	0.57	-3.95441	-3.90286	25260	46860
52	5.43	-0.0148142	-0.263493	2940	24540
