nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
31	1	10	20	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-3.47977	-5.52744	
No.	x-cord	y-cord
21	0.870871	1.22906	
22	1.12449	-1.98889	
23	-6.2835	2.1685	
24	5.65729	3.96565	
25	0.933887	-1.09513	
26	-0.142287	0.101264	
27	0.721593	0.604984	
28	1.20827	1.13914	
29	0.152054	-0.269525	
30	-0.499588	-3.2989	
No.	p-weight	x-cord	y-cord	t-start	t-stop
1	4.49	-1.40108	-2.32083	4140	18540
2	1.9	1.75561	2.01073	13860	28260
3	6.22	4.95423	3.41551	900	15300
4	2.94	-1.82243	-0.292516	13860	28260
5	1.34	0.168845	-0.27692	5520	19920
6	1.23	-0.825355	1.29929	2880	17280
7	4.25	-0.0545931	-0.461887	4980	19380
8	5.4	-1.17559	0.0611478	4500	18900
9	2.19	3.63289	5.80076	840	15240
10	2.03	0.0189238	-0.025004	1020	15420
11	2.95	-2.82468	-0.549257	6240	20640
12	6.49	0.540028	0.0374119	2280	16680
13	2.82	2.89046	4.85241	9540	23940
14	5.62	0.505922	-0.0393024	2760	17160
15	5.25	-0.586258	0.44135	3840	18240
16	5.96	0.844977	-2.41423	11640	26040
17	5.19	0.0708374	-0.107374	10080	24480
18	0.43	-4.5894	1.92609	8940	23340
19	6.64	-0.488845	-1.69591	3720	18120
20	7.58	-0.35848	0.0726335	1800	16200
