nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
112	2	10	100	25	6	4	4	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	2.82733	6.93777	
1	-0.0601643	6.14789	
No.	x-cord	y-cord
102	-4.25932	3.09668	
103	-0.305789	0.0411225	
104	2.81679	4.34718	
105	0.0538649	-0.715771	
106	-0.381913	2.67375	
107	-4.07789	-0.51581	
108	-2.97663	3.92311	
109	0.850906	-5.10985	
110	0.417427	-1.57816	
111	-2.10307	0.916633	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	4.08	-0.0448835	-0.100531	25920	33120
3	1.15	-2.59715	0.383826	16200	23400
4	4.36	3.26922	6.08633	22080	29280
5	0.21	-1.86289	2.77878	3300	10500
6	1.73	-0.546636	-0.36883	27060	34260
7	5.76	1.19834	-2.47656	13260	20460
8	6.75	-0.140084	0.0351606	2160	9360
9	0.56	-0.235292	0.233094	900	8100
10	6.18	-1.20548	1.52592	14040	21240
11	6.52	-0.30539	-0.865549	16320	23520
12	6.44	0.684373	-0.00247544	12420	19620
13	3.41	-0.011966	-0.120949	24000	31200
14	6.58	0.598522	-1.08037	14940	22140
15	0.14	0.664825	-1.33404	13200	20400
16	3.76	-1.80163	2.14488	3540	10740
17	2.72	-0.0863619	-0.123109	26040	33240
18	2.17	0.834897	-2.11175	6720	13920
19	5.39	4.98074	3.54877	5340	12540
20	7.88	0.131508	-0.495322	9120	16320
21	5.03	0.330139	0.129279	20280	27480
22	3.41	0.136669	-0.710725	16620	23820
23	1.67	0.345156	-0.00236932	27120	34320
24	3.26	-0.226833	-0.572651	22320	29520
25	3.84	-1.89178	1.36854	14700	21900
26	3.6	3.48638	2.75963	28740	35940
27	1.62	0.28119	-2.23903	15240	22440
28	0.27	-1.61131	-0.785158	840	8040
29	1.2	2.94742	-1.20217	780	7980
30	5	2.13496	0.883118	20400	27600
31	1.59	-1.44272	-1.26466	2040	9240
32	6.16	-1.98966	-0.776345	11520	18720
33	7.48	1.61291	3.93107	1680	8880
34	4.94	-0.743426	-0.602971	24840	32040
35	3.04	-1.5507	1.63215	10440	17640
36	5.51	2.06645	1.3395	3480	10680
37	2.62	1.30932	-2.09408	1800	9000
38	0.81	0.494714	1.63045	28320	35520
39	4.8	2.7567	-1.06284	15720	22920
40	0.72	-0.00483168	0.00306572	7560	14760
41	6.61	-0.415209	0.10108	12300	19500
42	6.78	-2.78129	0.127429	11040	18240
43	2.86	-1.29316	-2.61592	10380	17580
44	0.35	0.12059	-0.429972	3660	10860
45	2.08	0.619304	3.35258	16200	23400
46	0.65	0.820061	2.61035	6420	13620
47	1.93	-2.45549	-0.253747	3600	10800
48	3.88	0.241083	-0.27324	15120	22320
49	7.02	2.38631	-0.325234	12360	19560
50	5.31	3.04242	6.12701	17040	24240
51	6.58	1.89382	-2.50362	1860	9060
52	7.4	1.42063	-1.7689	1260	8460
53	3.05	1.69433	1.84128	11820	19020
54	6.16	1.62756	2.65109	900	8100
55	5.95	1.3734	0.647664	18540	25740
56	4.2	1.58312	1.40858	16320	23520
57	3.7	-1.02569	-0.0679418	3660	10860
58	1.38	1.7317	-1.08585	180	7380
59	1.58	3.82653	4.30494	16800	24000
60	5.65	1.38138	0.809923	3180	10380
61	1.19	0.239425	0.56029	12360	19560
62	5.4	0.212306	1.50145	18000	25200
63	6.54	0.0536138	0.0658528	27180	34380
64	2.54	-1.23601	2.12547	19560	26760
65	6.96	0.023149	-0.0694901	18600	25800
66	1.83	3.01693	2.46465	23700	30900
67	4.94	0.00111185	0.00723956	12600	19800
68	7.27	0.354723	0.593554	2760	9960
69	4.61	-0.0649405	0.529804	780	7980
70	3.71	-0.337305	-2.85522	20100	27300
71	1.82	-2.84698	-0.380718	2460	9660
72	4.34	0.606009	-0.659802	26340	33540
73	0.24	-0.0935516	-1.42841	10920	18120
74	7.64	-0.0652506	0.0476513	24420	31620
75	6.44	-0.116324	1.31647	1680	8880
76	0.46	-1.93484	1.36576	13920	21120
77	4.59	3.1442	5.95402	2940	10140
78	7.34	0.981669	-0.879373	3720	10920
79	7.54	0.14984	-0.0987416	2820	10020
80	1.96	0.0390211	0.39658	13860	21060
81	3	0.699078	0.811337	2520	9720
82	1.14	-1.82886	-1.47974	4680	11880
83	5.63	-0.0986522	-0.0518946	28620	35820
84	1.92	-0.921345	0.839277	10440	17640
85	6.54	0.351598	1.88815	27240	34440
86	5.4	0.0905552	4.83145	19200	26400
87	1.03	0.158254	-0.499695	60	7260
88	3.74	-2.72329	-1.7548	5820	13020
89	7.5	0.219041	-1.85554	17820	25020
90	7.12	-0.0744761	0.253898	6480	13680
91	5.18	0.865877	-1.2768	780	7980
92	2.34	0.583117	-0.799128	2700	9900
93	1.36	0.00123841	-0.0514851	14940	22140
94	7.06	0.790811	2.55402	26580	33780
95	7.97	-1.34139	-4.84268	26160	33360
96	4.45	-2.32358	-0.873372	7500	14700
97	2.8	-0.948771	0.697605	2160	9360
98	5.91	-0.026151	-0.0454259	15180	22380
99	4.46	-1.57778	-3.18964	10140	17340
100	2.75	-2.2572	1.10249	2580	9780
101	4.83	-0.0165477	-0.911743	17460	24660
