nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
162	2	10	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-4.09549	5.48537	
1	-4.13162	6.01489	
No.	x-cord	y-cord
152	-5.9329	0.631763	
153	0.199148	0.0406428	
154	1.63779	1.62018	
155	-1.01919	1.40916	
156	5.49993	5.04507	
157	0.261989	-0.0675077	
158	-4.65734	-3.98835	
159	2.4372	0.581664	
160	-1.93012	0.196157	
161	1.42652	2.59409	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.54	0.585662	-2.16175	8820	23220
3	5.01	1.15389	0.599971	14280	28680
4	1.16	0.616335	0.301685	1020	15420
5	3.3	1.29343	-0.924108	3720	18120
6	8	-0.382855	-1.58502	3840	18240
7	4.08	-3.98639	-4.3788	60	14460
8	6.14	-1.52374	2.87169	11040	25440
9	2.33	0.618853	-0.159424	21120	35520
10	5.52	-0.334906	0.886934	20580	34980
11	2.72	1.9049	2.56054	13800	28200
12	5.17	0.131389	-0.467355	23220	37620
13	2.59	0.179784	0.0423867	19140	33540
14	1.37	-3.31675	-5.99368	20100	34500
15	4.3	-4.65718	-5.7801	20640	35040
16	3.69	-1.21528	1.03532	24480	38880
17	1.46	0.662166	0.704792	11820	26220
18	4.91	0.588708	-1.17889	21420	35820
19	1.84	2.90407	-1.75918	660	15060
20	3.55	-2.6704	1.52352	3780	18180
21	7.03	1.72306	-0.201068	27660	42060
22	5.58	-2.188	2.16242	23700	38100
23	2.86	3.66594	1.21863	10680	25080
24	1.9	1.78992	2.12033	21780	36180
25	2.86	2.85673	3.43769	2400	16800
26	7.74	-6.10064	-3.46297	3900	18300
27	0.64	2.1141	-0.258208	27900	42300
28	0.5	3.1885	-0.0304444	10500	24900
29	5.38	-0.831719	0.577189	24480	38880
30	1.95	0.660767	-0.0186874	18420	32820
31	6.62	-1.6467	-0.866224	20160	34560
32	3.36	-0.156325	0.169999	2400	16800
33	1.22	-4.52853	-1.9319	2280	16680
34	4.24	2.04002	-1.24571	19620	34020
35	1.9	1.50722	2.9777	6360	20760
36	5.9	0.174716	0.337145	120	14520
37	3.52	-0.0637607	0.161849	16440	30840
38	4.05	2.69035	1.59573	11940	26340
39	7.5	0.0805786	-0.211299	4080	18480
40	5.13	-0.251855	-0.926095	8100	22500
41	3.79	-2.78892	-1.95615	11100	25500
42	2.41	-0.227481	-0.0291921	780	15180
43	0.76	1.64794	-1.87317	3540	17940
44	7.66	0.963889	2.8929	23820	38220
45	6.81	0.0429725	0.0931035	3180	17580
46	7.18	-1.41989	-1.7116	21180	35580
47	1.32	0.149205	0.669791	16140	30540
48	7.31	-5.24833	-4.65354	27480	41880
49	4.31	-0.100498	-0.0849804	13560	27960
50	1.39	0.091216	-0.582751	2160	16560
51	6.63	0.0830846	2.7651	11280	25680
52	7.79	-0.46296	2.4823	8520	22920
53	2.34	-0.325425	0.0427907	14160	28560
54	3.97	-0.773706	2.45553	21060	35460
55	4.82	1.05425	-0.885106	2940	17340
56	7.5	0.301741	-0.534078	240	14640
57	6.79	-0.13365	1.74314	12360	26760
58	6	-0.980214	0.535555	7020	21420
59	4.3	-0.593017	0.217755	1560	15960
60	7.78	2.25214	1.29173	2820	17220
61	5.03	1.62839	2.16311	4440	18840
62	3.41	-0.682781	-1.11442	11040	25440
63	6.3	-1.1338	2.16776	5040	19440
64	6.52	2.05753	0.526631	28260	42660
