nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
222	2	20	200	25	6	4	6	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.19471	-3.55862	
1	-6.72798	1.2013	
No.	x-cord	y-cord
202	-4.35938	3.31651	
203	-0.420022	2.46764	
204	-2.68346	-1.79213	
205	3.90712	0.68192	
206	3.98575	-2.53752	
207	4.35842	3.78193	
208	1.96297	5.60083	
209	-1.21509	1.48382	
210	0.626601	-0.555339	
211	1.37864	2.00425	
212	-1.63262	4.64191	
213	3.54862	-5.61608	
214	-4.08098	-0.319224	
215	-2.67724	-0.780019	
216	-4.30048	-3.4455	
217	6.37865	3.56123	
218	-3.0303	-0.213456	
219	-2.52727	2.28692	
220	3.77234	-0.7701	
221	-0.516518	-2.26437	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	3.2	-3.99833	-1.50828	1560	15960
3	1.68	0.0950058	0.00634977	480	14880
4	5.08	0.0549863	0.127093	4440	18840
5	5.05	0.741533	-0.114346	20640	35040
6	6.63	0.312982	0.396518	19320	33720
7	6.37	-4.65849	-1.10859	3540	17940
8	6.57	-0.43899	-0.180672	18000	32400
9	4.11	1.40308	-1.67645	28500	42900
10	5.36	2.41897	-2.35383	22800	37200
11	5.63	1.59026	0.204624	24960	39360
12	8	3.01642	-0.401915	8400	22800
13	7.69	-0.214065	-1.84966	4200	18600
14	2.34	3.17281	-0.701946	4380	18780
15	1.39	-1.42992	-0.89757	25020	39420
16	3.64	-2.83848	1.50331	22440	36840
17	7.52	0.151822	1.8751	3720	18120
18	1.68	-1.26164	1.04275	24840	39240
19	5.27	2.02821	-2.86807	26220	40620
20	4.75	-1.55963	-2.75071	17700	32100
21	5.01	2.15613	-0.7341	11820	26220
22	3.36	0.33859	0.294659	11220	25620
23	6.93	0.383104	0.250582	19560	33960
24	5.21	0.0316172	0.0496051	23160	37560
25	4.82	-0.865977	-0.304864	4020	18420
26	6.97	-0.398715	0.893331	19140	33540
27	1.98	-0.85806	1.2112	10320	24720
28	2.93	0.363576	-0.311602	12060	26460
29	7.86	1.2482	1.71129	14400	28800
30	5.95	-0.66195	-1.65093	12960	27360
31	3.38	0.747987	1.38239	26220	40620
32	3.46	1.83284	0.977399	12420	26820
33	4.73	-0.0936266	0.0401075	25140	39540
34	2.96	-0.875321	-0.151395	3960	18360
35	5.15	0.205315	0.254026	11400	25800
36	2.21	-0.479072	0.809344	2340	16740
37	7.22	-0.00548947	0.0785462	25500	39900
38	6.26	0.619364	1.32018	19020	33420
39	1.05	0.22109	-0.611778	7500	21900
40	7.28	-0.0657544	0.417613	27840	42240
41	3.43	0.505113	0.317261	3540	17940
42	2.68	2.47183	-0.568279	24540	38940
43	2.92	-0.853574	1.89117	2400	16800
44	3.04	1.19887	3.56322	21000	35400
45	7.74	0.185508	0.40671	25680	40080
46	1.6	1.07684	-0.910158	13020	27420
47	2.55	5.02576	0.498573	16800	31200
48	3.78	-1.40798	-0.928284	22860	37260
49	2.85	-0.158074	0.699	11040	25440
50	6.58	3.95177	1.29175	14160	28560
51	0.91	-0.882053	-0.63642	3780	18180
52	5.67	-2.10239	0.428445	11760	26160
53	2.71	-0.00450863	0.00689709	23760	38160
54	5.53	0.606711	-0.465504	16080	30480
55	6.1	0.200206	0.806857	2640	17040
56	1.4	1.35245	-3.33947	120	14520
57	7.89	-1.79814	0.354295	2160	16560
58	2.1	0.0464459	0.389095	10680	25080
59	5.97	0.000137029	0.00320151	26400	40800
60	5.79	-0.205261	-0.256126	2640	17040
61	5.89	0.772323	-0.196751	27120	41520
62	2.18	-4.94944	-0.481818	3660	18060
63	2.37	2.53782	1.57836	22260	36660
64	6.65	5.00735	-1.16998	15060	29460
65	3.5	2.135	-0.681243	5820	20220
66	6.08	0.40895	-0.288687	20340	34740
67	6.7	-0.671477	1.27819	21660	36060
68	7.74	-1.21636	0.194921	11760	26160
69	2.17	2.19535	-0.340494	4560	18960
70	7.17	3.48457	-0.015653	3300	17700
71	4.39	3.43686	2.57716	1200	15600
72	7.91	-0.371625	0.287591	13800	28200
73	3.37	0.135386	0.380871	12780	27180
74	5.02	1.95812	2.9183	8100	22500
75	4.13	1.02635	0.46952	16200	30600
76	7.25	-0.868039	-0.61192	780	15180
77	0.27	0.0654002	-0.00617472	60	14460
78	6.6	-0.573415	0.458646	9240	23640
79	3.09	0.372818	-0.373952	3780	18180
80	0.14	-1.21311	-0.0782243	22980	37380
81	2.67	-3.53218	-4.12194	15420	29820
82	5.03	-2.61183	-2.12842	5820	20220
83	6.36	-1.27634	-1.36234	16920	31320
84	1.6	0.0779347	0.120508	28560	42960
85	2.17	1.00388	-0.809807	28200	42600
86	6.16	-2.70334	5.54846	1200	15600
87	7.93	0.0306456	-0.906569	3840	18240
88	4.45	-0.336255	0.196261	2760	17160
89	6.9	-1.12719	0.757774	9180	23580
90	4.02	2.77899	-0.83862	12000	26400
91	5.51	2.85162	0.355546	240	14640
92	3.62	0.602327	2.30109	720	15120
93	7.67	1.78677	-0.60598	21120	35520
94	1.2	-1.05026	0.0149812	4320	18720
95	7.59	3.18706	0.497987	3840	18240
96	7.28	0.479415	-0.409638	2880	17280
97	3.42	0.248888	0.413351	19860	34260
98	6.15	1.29842	-1.81675	6000	20400
99	6.83	-1.67825	-2.02663	10380	24780
100	6.03	-3.42253	-2.41399	17520	31920
101	4.77	0.0608601	0.541115	6420	20820
102	7.13	-0.715899	1.46377	18960	33360
103	7.76	-1.28626	-3.92611	15960	30360
104	4.34	1.52197	-3.34005	28260	42660
105	4.33	1.11072	6.19683	2820	17220
106	2.67	0.425957	-0.179815	900	15300
107	5.21	1.52783	0.52915	10740	25140
108	6.18	0.238119	0.0248994	27360	41760
109	0.8	-1.51522	4.55749	5460	19860
110	1.85	1.90652	-0.763774	1740	16140
111	5.9	-1.17758	-1.02614	27480	41880
112	4.9	1.65416	2.77731	25560	39960
113	0.4	1.56013	-1.86646	28800	43200
114	7.02	-0.241929	-0.415079	7440	21840
115	3.38	-1.3818	1.00778	3780	18180
116	1.45	0.131421	-0.0599013	1260	15660
117	0.87	-2.36771	2.05982	26160	40560
118	4.2	1.813	4.34518	3120	17520
119	3.71	4.37113	1.52705	1260	15660
120	7.13	0.371649	3.67805	3480	17880
121	2.51	1.32591	-0.84577	22380	36780
122	4.7	1.39937	-2.23375	3480	17880
123	2.64	-0.178643	-0.251004	24360	38760
124	6.58	0.3833	0.240948	2040	16440
125	2.32	1.70477	-0.984137	28140	42540
126	2.25	1.17572	0.204824	14820	29220
127	3.75	0.915373	0.762883	10260	24660
128	4.24	-1.34848	0.510211	4800	19200
129	1.55	4.77802	-1.22038	9660	24060
130	4.82	-0.23946	0.227814	24780	39180
131	4.74	0.100863	-0.0737895	7500	21900
132	4.61	-2.27044	0.73408	19920	34320
133	6.53	-0.197325	0.236896	6360	20760
134	5.12	3.65788	-1.39772	15000	29400
135	1.2	-0.842059	-1.56311	28740	43140
136	5.58	3.42294	-0.0467951	10920	25320
137	0.3	3.03592	-0.1409	16320	30720
138	1.71	-2.71401	-0.422261	11460	25860
139	6.37	-2.75039	-0.654687	13020	27420
140	0.78	-0.00844459	0.0559013	5100	19500
141	0.35	-2.09083	-1.10552	8940	23340
142	1.34	0.266944	-0.482206	6720	21120
143	6.96	0.101065	1.64123	27420	41820
144	1.45	2.21882	-2.42305	8940	23340
145	2.34	-1.11238	0.860392	960	15360
146	2.32	4.88704	5.31752	4380	18780
147	2.9	0.475783	0.0965116	1500	15900
148	8	1.51693	0.116803	12960	27360
149	5.74	-1.53705	0.218827	13380	27780
150	3.21	-0.672213	0.430714	2940	17340
151	2.57	0.382798	0.164903	16080	30480
152	0.69	3.91391	2.06026	10560	24960
153	6.92	-1.52693	-1.27717	12120	26520
154	2.96	-0.609074	2.78194	4020	18420
155	1.5	-0.366379	-0.693321	780	15180
156	4.09	-0.00714205	0.00162436	20640	35040
157	1.91	-0.51186	-0.0252471	18480	32880
158	1.27	0.0104144	-0.47483	2280	16680
159	3.66	-1.21629	-0.00748532	24060	38460
160	5.01	-1.24473	0.0218712	21540	35940
161	2.01	2.02847	4.73468	22320	36720
162	7.09	-0.192706	0.0250457	21900	36300
163	7.3	-0.010155	2.47221	1560	15960
164	4.88	0.869934	-0.302564	5700	20100
165	4.89	2.39721	1.11461	3360	17760
166	1.37	1.61441	-3.24249	19620	34020
167	2.81	0.18664	1.92646	7320	21720
168	6.51	-2.66809	2.18256	3240	17640
169	4.89	3.63513	1.15119	11340	25740
170	5	0.858672	-1.66328	6600	21000
171	2.05	0.0443922	-0.203035	5940	20340
