nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
163	3	10	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-4.54825	-3.97487	
1	4.58252	5.70093	
2	-6.37854	-3.40379	
No.	x-cord	y-cord
153	-0.146634	-0.204108	
154	-0.103156	-1.08554	
155	-0.803472	-0.0852093	
156	-1.8692	4.13109	
157	4.66241	3.06373	
158	1.81705	-1.43661	
159	-6.7629	-0.46026	
160	1.40322	0.709148	
161	-5.61885	-1.99309	
162	-1.68525	-7.17284	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	2.37	0.649677	-2.07704	1380	15780
4	6.01	-0.377496	-0.951438	25860	40260
5	3.4	0.0227535	2.24689	24300	38700
6	7.64	4.5871	1.08327	14820	29220
7	4.7	-0.933328	1.52463	2340	16740
8	5.23	-4.65637	1.55445	10020	24420
9	7.33	3.30332	0.800808	21300	35700
10	5.87	-0.249784	-0.215044	19080	33480
11	7.74	1.36036	0.0645927	5640	20040
12	7.63	0.152149	-1.3681	22740	37140
13	0.22	0.2039	-0.472168	13380	27780
14	0.48	0.53096	-0.477906	28080	42480
15	5.46	1.87846	-1.30541	420	14820
16	5.26	-0.0794374	0.0836518	5940	20340
17	0.95	0.0003803	0.106433	27540	41940
18	3.5	-0.307375	-0.120244	17160	31560
19	5.38	-0.82715	2.69539	26100	40500
20	7.73	1.72647	1.33358	21540	35940
21	4.45	-2.25853	5.35591	9360	23760
22	2.16	-0.633236	-0.388176	14760	29160
23	7.79	0.816323	-0.400205	480	14880
24	6.15	4.96419	3.62221	14520	28920
25	5.02	0.281034	0.748732	19020	33420
26	6.55	3.68579	4.37168	3600	18000
27	0.96	0.37433	-1.68333	21600	36000
28	2.44	-1.1753	1.59587	26880	41280
29	2.69	-5.45127	-1.93901	11880	26280
30	5.02	-1.47159	-1.42743	11640	26040
31	0.43	-0.0833604	0.257865	2340	16740
32	3.79	0.247071	-0.690001	26040	40440
33	7.46	1.29926	-1.53946	11460	25860
34	1.35	2.08092	-1.12743	10260	24660
35	5.4	0.0458086	-0.264782	3000	17400
36	1.34	-0.974459	-2.89298	8340	22740
37	5.69	0.414371	0.74305	27780	42180
38	5.14	-2.79627	-1.77279	15600	30000
39	0.87	2.68769	-0.822601	2940	17340
40	3.16	-0.465515	0.987331	19320	33720
41	2.04	-0.0794729	-0.106625	12180	26580
42	5.75	-0.943684	-2.7216	3840	18240
43	4.41	3.66902	-1.10744	7620	22020
44	4.36	-2.52409	1.12875	17400	31800
45	1.54	-1.58017	-2.47391	1260	15660
46	2.37	2.624	-2.02841	27240	41640
47	5.56	-2.05644	5.88676	1920	16320
