nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
213	3	10	200	25	6	4	6	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.63728	-4.86489	
1	7.13022	1.6009	
2	1.84517	5.80619	
No.	x-cord	y-cord
203	-6.35263	-2.21506	
204	2.99496	-4.51692	
205	-0.146069	2.26473	
206	0.0412563	-0.803027	
207	2.8513	4.91843	
208	-0.289757	4.47089	
209	-2.26339	-4.73377	
210	-2.50295	-6.37924	
211	1.92644	-5.3505	
212	0.30041	0.135053	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	7.68	0.916538	0.645216	16020	37620
4	0.25	1.05496	0.144326	15840	37440
5	1.49	-0.56412	-0.334811	23040	44640
6	0.47	0.0752639	-0.0960146	27180	48780
7	6.38	-1.87991	-1.50172	19320	40920
8	7.42	0.132347	0.542345	3300	24900
9	6.85	-0.480938	-0.934827	16260	37860
10	4.89	1.26547	0.636658	28560	50160
11	6.6	-0.155278	0.7268	19920	41520
12	2.29	-0.434957	0.168557	3600	25200
13	4.68	-0.105625	-0.368076	10440	32040
14	6.85	1.5347	-6.8169	2040	23640
15	1.81	1.04909	-1.553	23400	45000
16	6.7	-0.134362	-0.293434	11400	33000
17	6.17	0.667687	0.969503	7080	28680
18	2.56	0.989712	-0.473307	20880	42480
19	4.55	-0.352746	1.11732	8280	29880
20	5.65	-0.863533	0.361521	9540	31140
21	5.67	0.952241	-0.341688	720	22320
22	4.82	0.128167	-0.0949984	11460	33060
23	4.7	1.12151	0.16257	26760	48360
24	7.99	0.928185	-3.33995	12420	34020
25	3.58	3.00031	-4.82735	20100	41700
26	4.02	0.442093	-0.241562	14880	36480
27	4.03	-1.03187	-2.30038	27540	49140
28	4.44	0.822764	-0.514261	21720	43320
29	1.27	1.16363	0.827007	540	22140
30	3.08	-0.917881	4.8825	3480	25080
31	7.1	0.525015	0.125128	8040	29640
32	6.33	-1.04411	0.627018	17400	39000
33	0.56	-2.23111	0.447857	27180	48780
34	4.2	0.167838	-1.81858	28500	50100
35	5.29	-0.108207	1.28501	5460	27060
36	7.83	-0.450021	0.465269	12960	34560
37	5.52	-0.11902	-0.000739446	4860	26460
38	4.19	0.0319085	-0.116565	18420	40020
39	4.06	0.574089	-0.817973	14520	36120
40	7.34	1.95717	-0.997374	21420	43020
41	7.96	0.702537	-0.267946	14640	36240
42	2.88	-0.716399	2.41824	9300	30900
43	2.19	2.6894	1.75238	3180	24780
44	4.79	-0.605251	2.32138	24540	46140
45	1.94	-1.72726	-1.19852	24840	46440
46	7.69	0.289534	-0.591956	6960	28560
47	4.48	2.29247	1.30327	12480	34080
48	7.22	1.90955	2.16646	24660	46260
49	2.98	2.61293	-2.10269	3300	24900
50	2.93	-0.0609811	0.402833	1680	23280
51	4.48	1.15307	-0.234715	2340	23940
52	0.22	1.6854	1.08192	960	22560
53	4.44	-0.189106	-0.0125263	600	22200
54	5.72	-1.47464	0.0658099	4740	26340
55	1.29	1.96454	-4.69836	17400	39000
56	7.04	-4.42463	-5.76326	12300	33900
57	0.33	0.0383068	0.0286537	17100	38700
58	2.06	-0.0729669	0.10843	12240	33840
59	0.43	0.321406	1.25666	14520	36120
60	2.81	-1.56699	-0.260462	16740	38340
61	6.82	1.12772	0.205399	2340	23940
62	3.63	-1.88894	0.98733	2400	24000
63	6.76	-0.244802	-1.5336	720	22320
64	3.6	-0.516963	0.512711	13680	35280
65	0.81	-1.94277	-0.899254	18900	40500
66	1.78	-2.55246	0.220348	300	21900
67	2.15	0.763821	2.67024	14940	36540
68	4.12	0.269592	-0.224592	5340	26940
69	0.21	-2.16865	1.27687	16500	38100
70	4.97	2.10388	0.143245	25200	46800
71	0.63	2.4226	1.74577	420	22020
72	7.67	-1.61131	-0.149649	14820	36420
73	7.74	2.60316	-0.84336	10020	31620
74	3.13	0.284532	-0.157574	28740	50340
75	3.14	0.500098	-0.0760311	1440	23040
76	7.78	0.118134	0.184733	19080	40680
77	6.7	-1.10879	-0.465594	23580	45180
78	5.43	-2.11378	0.0314673	21720	43320
79	3.24	1.57531	-0.3632	11820	33420
80	4.79	-1.41136	0.579099	17520	39120
81	5.27	0.438078	-0.37451	15720	37320
82	1.52	0.170157	-1.35491	25440	47040
83	2.81	-0.167071	-0.524752	9960	31560
84	1.11	-1.1372	-1.68628	20520	42120
85	0.12	-0.354315	1.57546	600	22200
86	4.39	2.66883	-1.83939	4020	25620
87	2.76	2.70362	-0.325087	22020	43620
88	4.67	-0.711133	-0.48716	13200	34800
89	1.51	-1.32997	1.38244	14400	36000
90	4.45	1.51691	0.28843	10260	31860
91	4.1	-1.34389	-2.11503	7320	28920
92	0.79	-0.299226	0.858978	7560	29160
93	3.56	-0.165303	-0.891897	11820	33420
94	0.67	-1.86686	-1.62002	15780	37380
95	1.81	0.505012	0.0898319	6480	28080
96	1.48	0.16746	-3.11526	20100	41700
97	6.31	-0.627653	-0.733287	14100	35700
98	7.72	1.76434	-2.03347	12540	34140
99	4.6	-1.16453	0.750162	27900	49500
100	5.77	0.792062	1.02778	2340	23940
101	2.91	-0.524285	1.28589	14040	35640
102	3.39	0.512365	3.12634	27780	49380
103	0.57	-0.173041	-2.15147	26400	48000
104	3.37	2.67502	-1.05869	12060	33660
105	7.04	1.23282	1.71479	2520	24120
106	6.98	0.0978253	5.30749	480	22080
107	1.55	-0.422649	1.17512	15540	37140
108	2.81	-0.0253606	-0.0905904	1020	22620
109	0.74	-3.66421	-3.95838	6900	28500
110	4.57	1.91265	-1.8904	780	22380
111	3.3	-0.185377	1.84195	6120	27720
112	4.63	0.920707	2.39864	2220	23820
113	6.91	0.118435	0.0262578	11640	33240
114	1.62	-1.89362	-0.567003	9960	31560
115	2.79	1.3545	4.2365	2520	24120
116	3.68	-0.213065	0.141314	5880	27480
117	3.83	-0.364225	-1.55416	1440	23040
118	0.79	2.34097	-1.46016	2520	24120
119	2.04	-1.36897	-0.0259441	2940	24540
120	6.78	-2.43832	4.21597	18120	39720
121	3.54	-0.199652	0.0783319	9120	30720
122	6.78	2.33721	-2.5418	15900	37500
123	6.3	0.485617	-1.06907	12960	34560
124	3.71	-0.995289	1.89485	22140	43740
125	0.94	-0.577773	-3.64	16620	38220
126	7.06	2.53981	2.30478	10140	31740
127	7.36	-2.42245	-0.0524127	20400	42000
128	1.46	0.930768	-0.0603365	1260	22860
129	1.85	-5.59509	-2.29498	14940	36540
130	0.32	2.19546	0.737119	7800	29400
131	6.01	1.81398	-1.87884	19980	41580
132	3.79	-2.28037	0.831869	240	21840
133	3.85	-1.78972	-0.727201	14520	36120
134	0.93	-0.568222	-0.116315	13620	35220
135	2.24	0.618763	-1.39843	11820	33420
136	7.92	0.357773	0.943133	1380	22980
137	7.93	-2.36594	-1.51576	25620	47220
138	6.49	0.203566	-0.101094	7320	28920
139	3.65	1.46273	-0.867086	25020	46620
140	1.05	0.126898	0.521999	20760	42360
141	6.53	0.197744	2.0544	14040	35640
142	1.43	2.01531	0.951621	840	22440
143	4.88	0.367028	0.711831	3480	25080
144	1.09	2.40622	-0.607063	10980	32580
145	5.15	0.242687	0.170979	22440	44040
146	7.35	1.30264	0.532935	10740	32340
147	2.61	-0.0660555	1.63522	180	21780
148	1.35	-0.812865	3.06199	5700	27300
149	3.1	1.80046	-1.22209	12600	34200
150	7.02	-0.248073	0.251059	5400	27000
151	6.26	0.324837	2.07872	2160	23760
152	7.19	0.637593	-1.74652	4620	26220
153	2.85	0.32875	-0.0694663	8280	29880
154	6.67	0.931334	0.311142	23520	45120
155	4.54	0.354622	0.291295	7680	29280
156	3.69	-0.745329	-1.05852	13980	35580
157	2.84	0.223079	0.0824141	28320	49920
158	0.38	-1.53396	0.106794	27900	49500
159	6.43	-0.587456	1.17722	3060	24660
160	5.36	2.1334	0.493705	23760	45360
161	6.25	-2.53028	0.481501	360	21960
162	7.34	-1.82546	1.47265	28380	49980
163	3.84	-0.162911	-0.0233191	13980	35580
164	6.48	0.269656	-0.126876	13260	34860
165	4.69	2.4763	-0.12236	1020	22620
166	4.54	-0.248836	0.0545877	1860	23460
167	1.21	-0.238488	-1.17356	11700	33300
168	1.19	0.360815	-0.734432	14880	36480
169	5.79	1.33967	-1.15224	28140	49740
170	4.83	1.61566	1.53317	16740	38340
171	0.57	-4.2479	-0.182953	2820	24420
172	7.23	1.13623	-0.421051	13440	35040
173	5.97	-0.370203	-0.0824277	16920	38520
174	3.48	0.341481	0.329106	9600	31200
175	3.14	-0.612292	2.75709	19440	41040
176	3.5	-2.77618	3.2364	3480	25080
177	3.03	0.936299	0.0698608	18600	40200
178	0.1	1.97287	-0.652115	840	22440
179	2.32	-0.129225	-2.91501	10680	32280
180	6	-0.197023	3.20411	10320	31920
181	5.8	-1.29874	-0.921378	10140	31740
182	6.71	-0.448455	0.203746	60	21660
183	7.37	1.26488	2.69611	12300	33900
184	8	-2.16604	1.05964	10500	32100
185	0.53	-0.118807	-2.14667	10800	32400
186	3.76	2.92538	-0.96412	12000	33600
187	6.09	-0.0747362	-0.345177	19320	40920
188	2.23	4.8088	-2.88355	23520	45120
189	0.81	0.132427	-0.35906	120	21720
190	6.61	-0.705135	3.30961	24960	46560
191	1.88	-1.01681	1.23349	7020	28620
192	1.78	-0.0993764	-0.707416	11100	32700
193	5.6	-1.24592	-3.1511	15240	36840
194	5.54	-0.582982	0.566676	360	21960
195	1.76	0.886259	-0.652797	13440	35040
196	7.79	0.0745685	-0.339123	4920	26520
197	1.49	-1.21765	0.0979166	25800	47400
198	5.1	-0.994224	0.119577	23280	44880
199	2.77	1.98488	-1.03898	26940	48540
200	2.97	-1.81187	-0.00752215	13980	35580
201	7.36	-4.02775	-2.77696	6900	28500
202	7.2	-0.0139476	0.00517796	1680	23280
