nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
173	3	20	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	3.08342	6.56372	
1	-3.65591	6.4217	
2	6.53647	0.546417	
No.	x-cord	y-cord
153	-0.48806	1.0131	
154	0.119119	0.00928398	
155	-0.497436	0.962889	
156	0.72088	-7.03307	
157	4.00744	-1.09233	
158	-5.89181	2.4274	
159	-0.274299	1.02577	
160	-0.0580856	5.17462	
161	0.98627	-1.10317	
162	-3.48621	-0.776223	
163	3.1446	-2.02554	
164	-0.718923	-1.2566	
165	5.30677	-2.39404	
166	-1.08861	-1.3146	
167	5.27386	3.38547	
168	-1.85085	5.10207	
169	-5.71647	-4.79904	
170	-1.33214	-5.58688	
171	7.16548	2.04625	
172	-5.99929	0.0645749	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	1.85	0.874886	-3.56773	3540	25140
4	7.96	3.31247	-1.453	24720	46320
5	2.37	-2.2428	-0.107958	16980	38580
6	3.95	-0.912018	-4.29127	24720	46320
7	2.61	-0.142228	0.183118	25980	47580
8	2.04	1.64337	1.74393	4680	26280
9	6.35	-0.00744026	0.00228154	15180	36780
10	6.76	0.984285	0.218544	4380	25980
11	6.13	-0.727734	0.643796	5820	27420
12	3.98	-0.00545904	0.0243443	1140	22740
13	6.55	0.701995	1.16916	11700	33300
14	6.81	1.25197	-0.0357974	25680	47280
15	4.8	-0.575139	0.757128	11040	32640
16	4.23	-1.32945	1.35101	24840	46440
17	7.77	3.49574	-3.37366	23160	44760
18	2.45	0.398671	0.171447	10140	31740
19	2.37	1.69084	-3.31419	28140	49740
20	6.06	-2.68582	-1.55958	300	21900
21	3.06	-1.8105	-0.0053689	22620	44220
22	0.22	0.207727	-0.033108	15300	36900
23	1.62	0.141815	1.85982	3780	25380
24	0.53	-2.28243	3.32502	3900	25500
25	2.76	0.112305	0.00423641	8460	30060
26	7.33	0.363703	-1.7986	18360	39960
27	7.98	-3.35961	-5.07898	4260	25860
28	2.49	-0.838172	0.0521496	3300	24900
29	3.66	0.0573553	0.367032	17820	39420
30	4.29	0.0120896	0.0134465	6960	28560
31	3.13	1.23073	-0.136611	15360	36960
32	5.41	-1.21916	-1.1379	7080	28680
33	7.22	1.48786	-1.08649	1020	22620
34	6.13	-3.35087	0.857979	21540	43140
35	2.59	-0.645199	0.0185923	5460	27060
36	5.86	4.26938	-4.08848	3720	25320
37	7.45	-3.1605	-1.455	28380	49980
38	7.26	1.23247	0.381015	13080	34680
39	3.21	2.07719	0.215899	11700	33300
40	7.48	1.97197	2.30926	7500	29100
41	0.8	-0.825471	-1.31303	5820	27420
42	0.86	-0.945968	1.34275	120	21720
43	3.35	0.178222	0.956778	19740	41340
44	3.66	0.0167179	-3.55644	28680	50280
45	3.26	-0.906182	-0.0198885	8460	30060
46	0.14	0.0736474	0.263421	19560	41160
47	2.5	-0.00105976	-0.0107054	16080	37680
48	6.07	1.80952	-0.498338	3360	24960
49	4.7	4.14172	-2.00936	28500	50100
50	1.55	-2.39774	-5.53686	1380	22980
51	1.4	-0.445409	1.71091	11100	32700
52	7.39	0.162346	1.40242	2040	23640
53	1.81	-1.18065	-0.651789	17400	39000
54	0.25	-1.03544	0.146756	16140	37740
55	3.14	-0.712529	-1.34633	14520	36120
56	1.86	0.432771	-1.52221	1920	23520
57	1.32	-0.650388	0.625053	3480	25080
58	4.75	0.437653	-0.810166	28440	50040
59	1.44	-3.33697	0.873321	10800	32400
60	1.63	-1.1056	-2.14604	22380	43980
61	3.51	1.05485	0.148471	22200	43800
62	3.93	-4.1977	0.788235	12420	34020
63	5.02	-0.0791387	0.390792	2580	24180
64	3.5	-5.59008	-1.2205	60	21660
65	7	1.14371	-1.54721	3000	24600
66	5.1	-3.24154	-0.832806	1920	23520
67	4.1	-0.0907687	0.276877	3180	24780
68	7.23	-0.346639	-0.300051	3060	24660
69	4.14	-0.0300971	0.454264	2640	24240
70	6.05	-0.18384	-0.142418	13860	35460
71	5.85	0.517787	-3.77566	13320	34920
72	7.53	0.00284788	-1.61389	960	22560
73	3.57	-3.33795	3.57039	6300	27900
74	0.34	0.614902	2.07734	5460	27060
75	5.45	-1.59591	-0.510167	26100	47700
76	7.07	-2.21892	2.38745	14460	36060
77	3.9	0.0463411	1.89738	10200	31800
78	4.2	0.73114	0.482011	13140	34740
79	4.67	1.00947	0.815262	1800	23400
80	1.09	-0.372621	-0.543781	21780	43380
81	1.42	-0.134874	-0.107673	11880	33480
82	2.34	2.07044	-0.180744	17160	38760
83	0.12	-0.0586715	-0.239429	26700	48300
84	1.02	-4.66568	5.08014	7440	29040
85	3.43	0.942757	-1.80015	1980	23580
86	7.48	-0.930257	-0.624043	17880	39480
87	2.31	1.18147	0.51395	13140	34740
88	3.28	-3.35652	1.13847	19020	40620
89	5.58	0.492937	-0.844206	12660	34260
90	3.2	1.52658	-2.19164	4440	26040
91	2.88	-1.39571	0.158592	3420	25020
92	6.7	-0.667878	-0.246955	17880	39480
93	2.18	0.833884	-1.51256	14160	35760
94	6.08	-1.4427	3.45307	1500	23100
95	1.19	0.323181	0.00256397	3240	24840
96	3.01	-5.19644	-4.95741	13620	35220
97	2.45	1.57872	-1.56857	10380	31980
98	1.4	1.74767	0.981893	3720	25320
99	7.28	-6.77272	1.04241	2040	23640
100	1.95	0.252505	-1.75328	24840	46440
101	4.03	-2.37383	3.70518	15600	37200
102	1.17	5.74071	0.851199	420	22020
103	2.87	-0.429689	0.0118972	660	22260
104	4.31	1.97714	1.95247	27240	48840
105	4.43	2.37002	1.42944	2040	23640
106	1.34	-2.43332	-2.53346	9960	31560
107	1.94	-1.79833	-1.44431	9900	31500
108	3.18	0.362615	-0.0112292	600	22200
109	5.98	0.115829	0.0815939	6960	28560
110	4.33	-0.129408	-0.767851	22380	43980
111	4.96	-1.02436	0.712297	7500	29100
112	7.64	0.0990302	2.99681	8760	30360
113	3.35	0.832625	-0.0944216	22200	43800
114	1.56	-0.80517	-0.33556	23100	44700
115	7.79	-2.59307	1.38517	19560	41160
116	7.1	-0.478898	-0.0285995	720	22320
117	3.29	5.25288	0.261909	7800	29400
118	2.44	0.638384	-1.09033	13200	34800
119	7.21	-1.25047	-7.36902	840	22440
120	4.96	-5.23476	-2.76369	20640	42240
121	1	-1.84927	-1.24676	26520	48120
122	2.84	-1.04121	3.51467	6840	28440
123	2.36	2.4694	-3.57033	9480	31080
124	6.37	0.56552	-1.18208	9120	30720
125	3.63	-0.632291	-1.21835	21900	43500
126	7.45	6.32055	4.03571	25080	46680
127	6.67	0.605159	0.33737	7980	29580
128	6.77	-2.46477	-0.969187	13200	34800
129	4.83	0.0135272	-1.47146	6600	28200
130	5.97	0.714502	1.53039	10200	31800
131	2.65	-5.91086	0.10202	6840	28440
132	6.62	0.527781	-0.589229	24420	46020
133	2.08	1.703	1.99326	26760	48360
134	1.46	-1.60998	0.641073	7380	28980
135	5.6	-0.776952	-3.4159	21300	42900
136	1.62	0.721561	-1.45128	26820	48420
137	7.1	-1.99532	1.67933	27900	49500
138	2.32	0.348426	2.4531	27420	49020
139	0.28	-0.990351	-2.36379	21180	42780
140	0.77	-1.26552	-0.824545	1200	22800
141	2.88	-4.19669	3.33483	14160	35760
142	6.28	-2.03654	0.693319	25380	46980
143	1.39	0.570105	-0.251304	11460	33060
144	4	0.0722752	-0.188008	10860	32460
145	7.23	4.12061	-2.02651	8220	29820
146	1.64	1.21819	-0.499357	27540	49140
147	4.13	-0.835115	2.26846	3540	25140
148	0.1	4.08137	-1.8397	12600	34200
149	5.03	-1.04251	0.302881	2100	23700
150	7.6	4.61116	-2.44565	11340	32940
151	4.18	0.379114	-1.6165	13800	35400
152	0.88	-0.557399	-0.620775	25920	47520
