nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
26	1	5	20	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	5.81242	-3.00099	
No.	x-cord	y-cord
21	4.50777	0.421353	
22	2.18176	2.01692	
23	-2.25764	-2.13983	
24	2.14915	3.87314	
25	-1.02858	-4.1338	
No.	p-weight	x-cord	y-cord	t-start	t-stop
1	2.94	-0.840051	0.200289	2400	16800
2	7.39	-0.799736	-4.52435	13740	28140
3	0.99	1.89712	6.06389	3780	18180
4	6.97	0.109486	0.474845	10020	24420
5	0.73	0.0905214	-0.711834	9180	23580
6	7.33	-0.109896	2.1641	1080	15480
7	3.9	-0.331193	-1.63447	7200	21600
8	7.19	-0.0388503	-2.83269	4080	18480
9	7.19	-1.15976	-2.40165	5220	19620
10	0.65	-3.14596	-1.26866	5520	19920
11	2.19	1.09246	0.353107	12480	26880
12	0.27	1.94252	3.09352	120	14520
13	5.54	2.03069	4.63319	7920	22320
14	7.67	-0.335293	-0.170303	1320	15720
15	4.64	-1.82958	-0.155183	8400	22800
16	1.61	2.58035	1.50556	4380	18780
17	0.97	-5.11113	-2.75908	6120	20520
18	6.26	5.15248	0.921488	1620	16020
19	6.8	-1.3551	-0.11332	11220	25620
20	2.22	6.08109	-0.0182111	180	14580
