nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
36	1	5	30	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-6.49389	-3.08548	
No.	x-cord	y-cord
31	-0.895843	3.41578	
32	1.79244	1.94447	
33	-2.30988	-3.12421	
34	-0.577883	-0.847633	
35	0.245134	-3.54067	
No.	p-weight	x-cord	y-cord	t-start	t-stop
1	2.42	-1.35741	-0.762024	11580	18780
2	2.29	-0.680342	6.05699	2100	9300
3	4.13	3.35029	2.98805	7380	14580
4	6.86	-0.651307	-0.0404466	13200	20400
5	4.02	-0.914173	1.00731	10020	17220
6	4.89	0.749207	-1.10121	7500	14700
7	5.84	0.875778	-1.73935	1620	8820
8	0.44	-1.35883	-1.44532	180	7380
9	3.14	-0.0525489	2.46251	300	7500
10	4.31	1.00007	-1.04076	240	7440
11	7.92	-2.13385	-1.42856	12000	19200
12	2.97	-0.93734	-0.962597	6600	13800
13	4.24	-0.051601	-0.130722	2760	9960
14	2.91	-0.155323	0.827633	2940	10140
15	2.53	-0.421276	1.32202	2700	9900
16	4.03	-1.87027	0.614633	7320	14520
17	7.39	-0.3503	-1.14229	13980	21180
18	0.48	-1.53036	1.65342	10020	17220
19	6.4	-0.691736	-0.414418	11880	19080
20	0.34	-0.0329163	0.0149795	3540	10740
21	6.74	0.316761	-0.708583	900	8100
22	5.74	3.95544	3.13254	14100	21300
23	5.84	0.278048	-0.496982	1920	9120
24	4.26	0.410465	-0.153768	7680	14880
25	4.19	-0.996065	-0.245525	5280	12480
26	7.17	-3.15262	-1.25945	7020	14220
27	3.16	-1.27061	6.18893	3720	10920
28	5.09	0.00163437	-0.0147877	8640	15840
29	6.67	-2.83614	-5.8285	8580	15780
30	4.07	-2.0485	0.434667	8220	15420
