nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
162	2	10	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-4.09549	5.48537	
1	-4.13162	6.01489	
No.	x-cord	y-cord
152	-5.9329	0.631763	
153	0.199148	0.0406428	
154	1.63779	1.62018	
155	-1.01919	1.40916	
156	5.49993	5.04507	
157	0.261989	-0.0675077	
158	-4.65734	-3.98835	
159	2.4372	0.581664	
160	-1.93012	0.196157	
161	1.42652	2.59409	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.54	0.585662	-2.16175	8820	16020
3	5.01	1.15389	0.599971	14280	21480
4	1.16	0.616335	0.301685	1020	8220
5	3.3	1.29343	-0.924108	3720	10920
6	8	-0.382855	-1.58502	3840	11040
7	4.08	-3.98639	-4.3788	60	7260
8	6.14	-1.52374	2.87169	11040	18240
9	2.33	0.618853	-0.159424	21120	28320
10	5.52	-0.334906	0.886934	20580	27780
11	2.72	1.9049	2.56054	13800	21000
12	5.17	0.131389	-0.467355	23220	30420
13	2.59	0.179784	0.0423867	19140	26340
14	1.37	-3.31675	-5.99368	20100	27300
15	4.3	-4.65718	-5.7801	20640	27840
16	3.69	-1.21528	1.03532	24480	31680
17	1.46	0.662166	0.704792	11820	19020
18	4.91	0.588708	-1.17889	21420	28620
19	1.84	2.90407	-1.75918	660	7860
20	3.55	-2.6704	1.52352	3780	10980
21	7.03	1.72306	-0.201068	27660	34860
22	5.58	-2.188	2.16242	23700	30900
23	2.86	3.66594	1.21863	10680	17880
24	1.9	1.78992	2.12033	21780	28980
25	2.86	2.85673	3.43769	2400	9600
26	7.74	-6.10064	-3.46297	3900	11100
27	0.64	2.1141	-0.258208	27900	35100
28	0.5	3.1885	-0.0304444	10500	17700
29	5.38	-0.831719	0.577189	24480	31680
30	1.95	0.660767	-0.0186874	18420	25620
31	6.62	-1.6467	-0.866224	20160	27360
32	3.36	-0.156325	0.169999	2400	9600
33	1.22	-4.52853	-1.9319	2280	9480
34	4.24	2.04002	-1.24571	19620	26820
35	1.9	1.50722	2.9777	6360	13560
36	5.9	0.174716	0.337145	120	7320
37	3.52	-0.0637607	0.161849	16440	23640
38	4.05	2.69035	1.59573	11940	19140
39	7.5	0.0805786	-0.211299	4080	11280
40	5.13	-0.251855	-0.926095	8100	15300
41	3.79	-2.78892	-1.95615	11100	18300
42	2.41	-0.227481	-0.0291921	780	7980
43	0.76	1.64794	-1.87317	3540	10740
44	7.66	0.963889	2.8929	23820	31020
45	6.81	0.0429725	0.0931035	3180	10380
46	7.18	-1.41989	-1.7116	21180	28380
47	1.32	0.149205	0.669791	16140	23340
48	7.31	-5.24833	-4.65354	27480	34680
49	4.31	-0.100498	-0.0849804	13560	20760
50	1.39	0.091216	-0.582751	2160	9360
51	6.63	0.0830846	2.7651	11280	18480
52	7.79	-0.46296	2.4823	8520	15720
53	2.34	-0.325425	0.0427907	14160	21360
54	3.97	-0.773706	2.45553	21060	28260
55	4.82	1.05425	-0.885106	2940	10140
56	7.5	0.301741	-0.534078	240	7440
57	6.79	-0.13365	1.74314	12360	19560
58	6	-0.980214	0.535555	7020	14220
59	4.3	-0.593017	0.217755	1560	8760
60	7.78	2.25214	1.29173	2820	10020
61	5.03	1.62839	2.16311	4440	11640
62	3.41	-0.682781	-1.11442	11040	18240
63	6.3	-1.1338	2.16776	5040	12240
64	6.52	2.05753	0.526631	28260	35460
65	0.97	-1.26687	0.683973	5580	12780
66	6.45	-0.708231	-0.761367	23820	31020
67	0.15	1.69356	5.48767	22560	29760
68	3.37	-2.40033	-0.182032	3480	10680
69	5.53	2.59409	0.0260796	28200	35400
70	5.09	2.10344	-0.103936	9540	16740
71	4.42	1.16034	1.47931	25500	32700
72	5.78	-2.18307	1.29252	14580	21780
73	7.12	-1.10759	2.26107	14280	21480
74	8	0.378828	0.515237	2100	9300
75	4.25	0.367182	-0.021731	12000	19200
76	4.46	0.412645	0.452955	25560	32760
77	7.67	0.651756	0.402193	1320	8520
78	1.88	1.83963	-0.863728	1860	9060
79	0.24	-5.18245	-4.1193	4740	11940
80	3.44	-0.0310515	0.0117177	6120	13320
81	7.93	-3.5402	-5.15045	10740	17940
82	2.16	-3.22936	1.54425	16920	24120
83	5.87	-2.10254	2.07045	28560	35760
84	4.38	0.652915	-0.139583	1200	8400
85	4.28	0.300948	-1.35895	3120	10320
86	6.67	0.115138	-0.141203	21420	28620
87	3.85	-4.14738	-1.25653	1620	8820
88	1.13	-7.35742	-1.13152	22080	29280
89	5.18	0.154657	0.700233	360	7560
90	7.27	2.24938	-1.57781	23760	30960
91	3.69	-0.86981	0.325819	2160	9360
92	7.13	1.925	-0.101987	660	7860
93	2.64	0.414366	0.773051	2040	9240
