nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
42	2	10	30	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	3.03989	5.64674	
1	6.82802	-2.81086	
No.	x-cord	y-cord
32	-1.75016	-2.75668	
33	-2.89092	-1.23415	
34	2.14067	-5.83667	
35	2.88579	2.70779	
36	5.50999	4.46304	
37	0.866384	-1.09198	
38	2.13744	3.25667	
39	-5.01287	-0.79851	
40	1.15033	-0.0475606	
41	-0.240837	6.93871	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	6.75	-0.0384842	0.250209	6600	13800
3	3.5	-0.100558	0.162529	600	7800
4	2.95	0.101616	-0.8327	7380	14580
5	1.61	-1.04106	-1.45179	14100	21300
6	5.56	0.454393	0.682994	14340	21540
7	0.69	1.1734	0.303303	11520	18720
8	0.17	-2.64319	-1.50146	5100	12300
9	5.97	2.46058	7.00099	3300	10500
10	5.5	1.03407	2.47402	1200	8400
11	0.75	-1.14354	-3.169	4020	11220
12	3.66	0.988449	-0.768831	600	7800
13	5.12	0.780534	1.50295	1860	9060
14	5.41	-0.260073	-0.21635	13440	20640
15	7.04	3.07656	0.430099	360	7560
16	2.57	-3.36492	1.02104	12360	19560
17	6.85	0.223168	-0.75843	12000	19200
18	2.91	-0.851377	0.209913	10200	17400
19	3.56	0.387686	-1.31151	12060	19260
20	2.51	-0.0222957	-0.372881	7800	15000
21	6.26	0.0221166	-0.980539	9720	16920
22	6.98	2.91523	-0.805775	10740	17940
23	7.75	-0.191686	0.408139	2940	10140
24	0.96	0.354912	1.46155	1980	9180
25	1.5	-1.77898	1.17975	4140	11340
26	2.17	-0.486683	-1.54429	4200	11400
27	0.88	3.5771	-1.72111	1320	8520
28	5.34	2.72564	0.252206	7200	14400
29	2.55	1.59464	0.906555	3000	10200
30	7.78	-0.75635	1.31667	6720	13920
31	5.02	-0.0505904	-0.0539112	10800	18000
