nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
62	2	10	50	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	6.02732	-3.34483	
1	5.58924	-4.10986	
No.	x-cord	y-cord
52	0.00220137	-2.64893	
53	1.43732	1.31054	
54	0.643311	-0.278122	
55	0.414271	-4.25622	
56	1.97645	-1.81752	
57	-0.287828	6.3834	
58	-0.111258	1.93985	
59	2.84462	3.13975	
60	6.08772	-4.24358	
61	-1.389	-6.6831	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	3.95	1.72369	-3.76527	14340	43140
3	5.7	2.20242	0.517219	11820	40620
4	3.32	3.34387	-2.43574	28620	57420
5	6.41	-0.544638	-1.72257	20220	49020
6	4.7	0.225471	1.32847	10320	39120
7	4.36	-0.642652	4.48112	25020	53820
8	7.77	-0.154051	-0.75348	12600	41400
9	1.9	0.723504	-1.49977	15480	44280
10	3.52	0.0188516	6.98681	28740	57540
11	7.79	-0.0635729	-0.0921198	11520	40320
12	3.81	-1.46681	0.985304	18900	47700
13	4.1	0.530504	0.260453	20880	49680
14	2.76	-0.227566	0.00900323	16140	44940
15	3.57	-0.193337	2.00515	5160	33960
16	5.12	-0.76199	-2.51952	240	29040
17	0.77	1.14	0.457698	21120	49920
18	4.57	1.90437	-2.34235	9000	37800
19	4.06	1.38252	7.23123	25140	53940
20	6.75	0.164474	-1.08258	25020	53820
21	1.09	0.126853	-1.01939	18180	46980
22	3.31	2.16713	-3.19172	3960	32760
23	6.98	1.69915	-0.642837	6780	35580
24	5.13	-0.706743	-0.298014	12420	41220
25	6.17	0.251063	-0.363477	8100	36900
26	5.04	0.37373	0.828527	23820	52620
27	2.93	0.72706	2.5912	14280	43080
28	5.31	0.977989	-1.77159	26400	55200
29	1.39	1.84947	-0.303076	23940	52740
30	4.82	-3.56367	-5.46799	11160	39960
31	1	1.27883	0.513063	180	28980
32	6.57	-2.03233	1.91304	21180	49980
33	2.97	2.37115	0.461761	2040	30840
34	6.21	3.04348	-0.644895	22800	51600
35	1.86	0.633187	0.466086	14280	43080
36	6.56	-0.188461	-1.02541	3720	32520
37	5.55	4.37819	-1.38707	19860	48660
38	1.73	1.0457	0.336266	9180	37980
39	1.56	-0.00400523	-0.240529	13680	42480
40	7.03	1.17605	-0.858336	20460	49260
41	4.61	0.712712	1.1314	20160	48960
42	7.51	0.335319	0.492203	23700	52500
43	7.54	-0.258886	0.543973	26820	55620
44	1.44	0.0371183	0.337407	7680	36480
45	3.4	0.791908	0.507375	8580	37380
46	6.41	-2.43305	-2.69816	2760	31560
47	7.22	-0.0231741	0.124902	26880	55680
48	3.38	1.35684	-2.62863	1740	30540
49	2.43	5.05372	-4.88331	8280	37080
50	1.54	0.742057	7.13029	3120	31920
51	3.42	1.23499	-2.78221	20760	49560
