nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
172	2	20	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	5.66473	-3.75939	
1	-1.28197	6.79812	
No.	x-cord	y-cord
152	-4.78223	-1.38101	
153	3.10572	1.60427	
154	2.08171	1.19829	
155	-0.483354	-6.10022	
156	3.3855	-2.56279	
157	-0.451308	0.605966	
158	-3.89328	0.964817	
159	0.505463	2.07414	
160	-2.59902	5.13182	
161	-0.0764016	-0.0564418	
162	0.545126	-0.059994	
163	3.43445	3.16545	
164	-6.67137	0.208477	
165	3.99663	-2.14408	
166	2.48168	-4.303	
167	0.000577328	-2.16025	
168	2.0417	0.551741	
169	-0.291981	0.0267855	
170	0.0874076	-0.85065	
171	-5.2272	-2.07199	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	0.11	0.930843	-1.76452	28680	35880
3	0.42	2.7259	1.03189	9120	16320
4	0.67	-2.47285	2.36821	12780	19980
5	3.59	0.655479	-1.3935	21240	28440
6	5.03	1.152	-0.624986	15480	22680
7	4.64	-0.731211	-0.0497637	16140	23340
8	4.23	4.46398	5.64526	21420	28620
9	6.72	-0.0107365	-0.0390648	16740	23940
10	3.97	-0.382584	0.11066	16800	24000
11	0.87	-2.32148	-4.26396	21240	28440
12	2.05	-0.109153	-1.12336	18900	26100
13	3.59	1.11667	1.33323	25620	32820
14	4.02	1.30322	0.246959	14460	21660
15	7.99	0.889421	0.350085	11520	18720
16	1.72	-0.211315	-0.304694	20460	27660
17	2.31	-0.188594	0.0162328	12120	19320
18	0.22	3.15854	-0.667222	16020	23220
19	5.65	-2.43676	0.854762	15540	22740
20	0.96	0.540902	-0.563961	21900	29100
21	2.29	0.788278	1.10692	23760	30960
22	5.16	-0.22564	0.196422	6060	13260
23	6.83	0.589625	-0.0161591	9960	17160
24	7.14	0.548199	0.489538	780	7980
25	6.09	-0.893572	0.974049	20700	27900
26	3.98	0.00645155	-0.0248105	7200	14400
27	4.78	-0.733465	-1.96658	8400	15600
28	4.95	1.30956	-0.0311497	10500	17700
29	5.92	0.586773	0.991094	12120	19320
30	1.38	2.07873	0.848942	16140	23340
31	0.29	-1.04494	-2.59721	14580	21780
32	3.53	-1.00198	2.31056	18240	25440
33	5.28	3.3804	2.7002	3540	10740
34	0.36	1.76589	0.0895968	16020	23220
35	7.32	-2.59332	-0.572656	3000	10200
36	3.07	4.95013	0.745982	20640	27840
37	5.3	-1.32771	-0.0283133	23520	30720
38	3.71	-2.53315	-5.44217	5100	12300
39	5.76	0.781779	-1.84315	15180	22380
40	6.6	-0.785804	-0.412796	24660	31860
41	5.9	1.60825	1.43886	1200	8400
42	4.12	2.83551	3.81099	10920	18120
43	7.28	0.626807	0.351182	19080	26280
44	0.41	0.547278	2.50984	13680	20880
45	1.2	1.89679	1.95828	15060	22260
46	2.69	-0.422817	1.41521	1980	9180
47	2.84	1.27265	1.10237	10140	17340
48	6.6	-0.177753	-0.764701	17100	24300
49	3.5	-1.87602	-0.0869025	6840	14040
50	5.27	1.56879	-1.68489	2100	9300
51	1.83	1.32115	1.64359	2040	9240
