nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
17	2	5	10	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-2.29133	-6.27973	
1	-3.20394	5.30415	
No.	x-cord	y-cord
12	2.60311	-0.499163	
13	1.03855	1.44458	
14	0.933909	-3.23722	
15	-4.4819	-2.8769	
16	0.51258	-4.10021	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	2.01	-1.63561	2.53651	9720	31320
3	2.64	-0.509536	-1.30656	120	21720
4	2.27	1.1995	0.681825	780	22380
5	4.48	3.02249	1.25134	1800	23400
6	4.42	-0.386609	1.74391	11880	33480
7	1.35	0.29501	0.110288	6900	28500
8	4.62	0.0354609	0.00109397	6900	28500
9	4.74	1.56362	1.00512	6900	28500
10	6.5	0.759031	0.371477	12720	34320
11	4.28	0.0378603	0.0459148	2520	24120
