nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
37	2	5	30	25	6	3	3	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	4.42425	-5.46541	
1	6.53147	2.17344	
No.	x-cord	y-cord
32	-2.12212	-0.520292	
33	-1.36143	3.14214	
34	0.937876	-1.2633	
35	2.97076	-4.32228	
36	1.92931	1.76665	
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	1.03	0.111339	0.0739708	10200	17400
3	6.76	-0.258829	-0.347484	13500	20700
4	1.49	-0.0151774	-0.0422169	10920	18120
5	5.25	1.4105	-2.04179	3120	10320
6	2.05	-0.0224091	0.373562	14220	21420
7	5.09	1.22596	0.240254	12360	19560
8	0.98	1.05833	-5.97948	7980	15180
9	2.81	0.0914333	-2.15488	12720	19920
10	3.72	3.77542	-0.820952	10440	17640
11	7.45	1.00096	-0.439438	12120	19320
12	1.79	2.25041	-1.64246	1440	8640
13	4.27	3.01204	-1.50569	14400	21600
14	5.52	0.889896	-2.86574	7560	14760
15	2.19	-0.473765	-1.3508	13620	20820
16	7.3	0.253227	1.08954	1020	8220
17	7.19	0.233243	-0.685858	1620	8820
18	4.07	1.10865	-0.728198	11340	18540
19	1.07	-1.32946	-3.05321	1920	9120
20	4.64	-1.6169	3.91185	1680	8880
21	2.21	-0.0324209	0.0388288	11880	19080
22	6.52	0.824852	-1.54999	9600	16800
23	2.68	-3.40307	2.24973	2100	9300
24	6.93	0.329841	-0.290752	11580	18780
25	6.96	-0.428361	-1.74426	2160	9360
26	4.61	-1.47364	-2.82098	12960	20160
27	2.65	-0.206266	-0.445536	5520	12720
28	0.16	0.255987	-0.196915	13740	20940
29	6.59	-0.530529	1.21944	3000	10200
30	7.84	0.704314	1.12694	8460	15660
31	3.26	0.283917	-0.402231	4320	11520
