nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
113	3	10	100	25	6	4	4	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	0.24078	-7.25659	
1	-5.43759	3.1583	
2	-4.00706	4.62673	
No.	x-cord	y-cord
103	-0.536288	-4.63152	
104	2.21743	-0.216756	
105	2.06356	2.86844	
106	1.50989	1.88657	
107	-1.12555	2.56256	
108	5.08592	-3.76038	
109	3.94748	1.66875	
110	0.508232	-0.955161	
111	-0.386701	-3.25595	
112	-6.88889	0.664943	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	0.44	3.43686	0.140825	7080	21480
4	6.97	-0.101093	0.0208905	18180	32580
5	1.68	0.105309	-0.1717	25260	39660
6	4.06	-0.276404	-0.757524	18240	32640
7	6.45	1.20733	-0.139816	15420	29820
8	5.75	-1.25902	0.595597	27960	42360
9	0.68	0.617075	-1.47813	5220	19620
10	2.93	-0.52111	0.185062	28200	42600
11	6.61	-2.36775	-1.56086	16080	30480
12	2.31	0.0465544	-0.0385237	19260	33660
13	4	2.74866	1.72427	19860	34260
14	1.49	-2.20952	1.78362	8520	22920
15	6.5	-1.08367	0.599655	3420	17820
16	7.08	0.130185	0.0666617	10440	24840
17	4.37	-0.656581	-0.0321806	2700	17100
18	5.6	-0.0548893	1.32184	4500	18900
19	4.71	-2.12902	-0.0206791	28560	42960
20	7.24	-0.230625	-0.470437	360	14760
21	3.46	1.97207	-0.460898	2040	16440
22	1.91	0.452197	-1.36709	12480	26880
23	2.98	1.17696	-5.01841	420	14820
24	5.16	-0.87003	-2.36926	27660	42060
25	6.52	-4.67727	1.03923	26700	41100
26	7.16	1.44017	-1.95056	20580	34980
27	4.36	5.58194	2.25687	9960	24360
28	2.94	-1.73255	-0.306572	27000	41400
29	5.25	-0.839907	-0.386293	19380	33780
30	0.86	0.356177	0.342883	28080	42480
31	2.62	-0.154339	0.325031	6240	20640
32	1.37	0.554906	0.227389	7320	21720
33	6.61	-0.0187928	4.87484	14400	28800
34	4.4	1.44496	0.954943	14700	29100
35	6.82	1.40347	0.30198	7380	21780
36	7.12	0.999738	-0.439944	180	14580
37	4.41	0.236857	0.13216	5760	20160
38	0.53	1.0558	3.75916	2520	16920
39	3.62	0.174727	0.272704	27780	42180
40	2.44	-0.443706	0.265027	23160	37560
41	0.62	0.447483	0.748238	600	15000
42	5.01	0.498941	-0.536533	10620	25020
43	3.72	-1.54166	1.53184	14700	29100
44	0.2	0.27439	-0.0200925	9720	24120
45	5.34	0.0132595	0.000653624	1740	16140
46	7.18	0.569408	3.98222	14160	28560
47	2.39	-1.37573	-5.28068	9480	23880
48	4.98	0.836057	1.95313	15660	30060
49	0.39	-0.299489	1.76282	25080	39480
50	1.84	0.242766	-0.247612	23040	37440
51	0.7	-1.74601	1.2806	4860	19260
52	2.08	-0.243571	-0.874248	8460	22860
53	4.01	1.55284	-3.20363	3960	18360
54	6.32	0.470101	-0.342837	27660	42060
55	1.63	-1.86156	-2.10685	14040	28440
56	0.63	-0.642592	1.52277	11880	26280
57	6.1	-2.95943	-2.72269	26820	41220
58	7.59	-0.640217	-0.692397	3720	18120
59	4.25	-0.0236179	3.08075	20340	34740
60	1	-1.12453	1.98361	7200	21600
61	1.06	3.29521	-0.98183	17940	32340
62	7.93	-1.94935	5.22851	28320	42720
63	5.11	2.65525	-2.12639	27120	41520
64	3.91	1.44708	-2.99926	19560	33960
65	1.23	0.29195	0.49081	360	14760
66	4.79	1.1538	0.538576	5520	19920
67	5.34	1.80311	-2.39113	3420	17820
68	3.8	-0.694045	-6.05682	11640	26040
69	0.59	-1.24929	-0.0474058	25140	39540
70	4.2	-1.37798	0.354198	25920	40320
71	0.47	3.14606	-0.252097	23400	37800
72	2.65	-0.825086	1.68835	600	15000
73	4.69	-0.0163491	-0.0529234	3300	17700
74	0.12	-3.57539	1.57326	25200	39600
75	1.85	0.0612277	1.52638	1620	16020
76	6.01	-0.800924	0.980427	2820	17220
77	1.19	2.60865	0.109176	3420	17820
78	0.79	-0.844027	0.425712	28740	43140
79	5.25	-1.30592	0.6489	4440	18840
80	4.51	0.831307	2.08782	2280	16680
81	0.87	-3.4582	3.18628	2040	16440
82	3.35	0.987896	-2.43931	3180	17580
83	3.02	0.0594763	0.789719	24360	38760
84	2.01	0.690682	4.38408	18360	32760
85	5.29	2.75879	-1.56767	6060	20460
86	7.65	0.37686	1.31466	1080	15480
87	5.09	0.110604	-0.413248	2280	16680
88	0.29	0.497976	-0.305321	11460	25860
89	2.45	-0.943036	-1.0815	8160	22560
90	3.12	-0.931107	0.272027	23580	37980
91	2.73	0.299135	-0.201602	27600	42000
92	3.16	-0.857166	1.55905	25320	39720
93	6.44	-2.3395	1.83086	540	14940
94	4.29	-0.0630929	-3.78896	27360	41760
95	2.73	-1.16242	0.472472	20040	34440
96	5.51	2.53922	0.567108	15840	30240
97	4.82	2.92923	0.202015	9600	24000
98	5.1	3.85092	1.50272	3420	17820
99	3.89	0.0871989	0.0127232	5040	19440
100	3.25	-4.64519	0.311148	15840	30240
101	4.85	0.806389	0.724452	11640	26040
102	5.78	1.15251	3.96338	21240	35640
