nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
123	3	20	100	25	6	4	4	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-6.15591	-1.16115	
1	-0.471326	-6.43789	
2	-5.08433	3.51755	
No.	x-cord	y-cord
103	-1.93123	-2.22655	
104	4.0365	-3.86306	
105	-1.07428	0.206033	
106	0.104823	-0.0392387	
107	-1.65334	-4.40107	
108	-1.60224	-0.3101	
109	0.297905	0.00803662	
110	-5.75941	0.693035	
111	0.147948	3.38272	
112	5.62664	2.56764	
113	0.00481727	0.0108838	
114	-0.133752	2.78122	
115	-2.22998	-1.77273	
116	1.50942	5.93097	
117	-2.15328	7.00125	
118	-4.22194	-0.805372	
119	-3.27056	3.2477	
120	5.49463	-3.89369	
121	-1.7699	-0.913613	
122	-1.08391	4.32028	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	2.34	-0.548893	-1.40152	12360	19560
4	3.45	-0.391325	0.394606	2160	9360
5	0.21	0.668892	1.99382	960	8160
6	5.05	-1.92513	-4.78923	9000	16200
7	2.45	3.42037	1.25199	240	7440
8	6.76	0.66769	1.54566	20400	27600
9	5.82	-0.10391	0.428183	28320	35520
10	1.92	-0.0215698	0.237525	3960	11160
11	6.83	-4.26031	1.27765	27540	34740
12	1.78	-1.75795	1.22012	4860	12060
13	6.48	-0.643006	0.799064	3720	10920
14	2.1	3.54411	-3.83125	3360	10560
15	2.46	-1.38231	-2.37163	11760	18960
16	2.73	2.65726	2.15236	17940	25140
17	4.83	-0.51146	3.04273	4260	11460
18	0.37	0.162686	-0.945609	15060	22260
19	5.67	-1.37019	4.46497	13500	20700
20	1.28	-2.53211	0.277799	14640	21840
21	6.75	3.55255	3.32552	19440	26640
22	1.93	-4.79287	0.948715	9480	16680
23	1.57	-1.73213	-0.364159	28380	35580
24	3.03	1.91258	1.28552	28560	35760
25	2.16	-0.0462689	0.232804	9600	16800
26	6.63	0.0590322	0.0393687	4380	11580
27	0.39	2.11218	1.78503	20340	27540
28	7.62	-1.92997	2.63677	18120	25320
29	4.69	-1.3639	0.246075	28320	35520
30	6.59	0.825891	0.898535	28320	35520
31	5.58	-0.102396	0.122339	17280	24480
32	6.75	-1.79227	-2.35454	19020	26220
33	2.98	-0.992739	1.2427	21240	28440
34	6.36	0.906645	-0.265158	9720	16920
35	7.52	-1.12616	3.44241	12360	19560
36	1.85	-0.762676	-0.0319414	3180	10380
37	1.15	-0.201505	3.29373	26400	33600
38	4.23	-0.0564368	1.31948	14340	21540
39	5.52	-3.47722	-4.14872	13140	20340
40	2.05	-0.400056	1.33147	27600	34800
41	5.08	-1.58127	2.39569	16080	23280
42	4.37	-0.0642935	-0.179011	7200	14400
43	2.38	-1.83386	2.83462	1740	8940
44	2.1	1.45075	1.88613	28800	36000
45	6.74	-1.37196	-0.490802	14700	21900
46	2.42	0.0835158	-0.262623	17940	25140
47	3.55	3.77077	5.80511	21660	28860
48	0.81	0.521531	-2.22374	14220	21420
49	7.73	-0.501315	-1.79896	14100	21300
50	1.45	2.0494	0.0705247	7560	14760
51	0.7	-0.998587	2.62616	22620	29820
52	5.9	-0.0437284	-0.486258	19680	26880
53	6.34	-1.08755	2.68319	9060	16260
54	0.65	-0.145025	-1.69077	13680	20880
55	4.86	0.548074	-0.216158	10860	18060
56	4.64	-0.901629	-0.706338	14520	21720
57	1.42	1.12477	-1.18941	22380	29580
58	6.59	1.41764	1.22795	1140	8340
59	6.43	0.159836	-0.746891	28740	35940
60	0.32	-2.71633	-5.34616	1380	8580
61	3.77	-0.329384	-2.58315	28740	35940
62	7.17	-3.20943	1.88346	17100	24300
63	3.37	1.85793	-1.1315	27660	34860
64	6.4	-2.15157	-0.823458	2340	9540
65	4.61	-0.620704	-0.428804	3180	10380
66	2	-0.554659	0.979803	25380	32580
67	5.79	1.38942	1.57716	24180	31380
68	6.55	-3.94179	1.59387	12720	19920
69	4.92	2.50591	-2.24873	3840	11040
70	1.81	-1.37886	1.28951	15300	22500
71	7.2	-0.147292	-3.96551	8520	15720
72	3.07	1.72492	4.18991	26820	34020
73	4.28	1.18864	1.07675	180	7380
74	1.1	1.83895	2.22224	27720	34920
75	1.4	0.33338	0.0761194	2880	10080
76	0.31	-1.33769	1.54455	5280	12480
77	3.17	-4.4831	-1.10923	480	7680
78	7.79	-0.331395	1.52872	12000	19200
79	3.28	-1.67644	-0.896614	1200	8400
80	6.85	-0.885162	0.593068	9360	16560
81	1.07	-0.677697	2.42771	24060	31260
82	2.69	0.631035	-0.460504	1980	9180
83	4.77	-1.82072	0.0180046	25620	32820
84	2.03	0.830876	2.09931	900	8100
85	4.85	0.175024	-0.45258	27360	34560
86	3.04	-2.50277	-2.32313	16680	23880
87	3.73	0.188963	-0.0111355	2820	10020
88	3.12	0.281906	0.416144	12660	19860
89	0.26	-0.963201	-1.25998	17160	24360
90	3.27	-0.241767	-0.895392	16920	24120
91	6.53	-0.675579	2.49144	22500	29700
92	1.36	0.207197	0.0212995	20460	27660
93	6.22	-0.807255	0.374018	14400	21600
94	6.1	-2.0645	-2.75617	7800	15000
95	2.09	-3.14394	0.102775	10680	17880
96	0.67	0.375866	5.03252	1320	8520
97	0.83	-0.590489	-1.55646	6300	13500
98	0.38	-1.15784	-0.35426	2640	9840
99	2.3	-1.83223	-1.29402	27000	34200
100	1.56	1.27676	-0.618439	14100	21300
101	4.79	-0.294564	1.4352	8160	15360
102	1.69	-0.129275	-0.393844	1080	8280
