nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
173	3	20	150	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	3.08342	6.56372	
1	-3.65591	6.4217	
2	6.53647	0.546417	
No.	x-cord	y-cord
153	-0.48806	1.0131	
154	0.119119	0.00928398	
155	-0.497436	0.962889	
156	0.72088	-7.03307	
157	4.00744	-1.09233	
158	-5.89181	2.4274	
159	-0.274299	1.02577	
160	-0.0580856	5.17462	
161	0.98627	-1.10317	
162	-3.48621	-0.776223	
163	3.1446	-2.02554	
164	-0.718923	-1.2566	
165	5.30677	-2.39404	
166	-1.08861	-1.3146	
167	5.27386	3.38547	
168	-1.85085	5.10207	
169	-5.71647	-4.79904	
170	-1.33214	-5.58688	
171	7.16548	2.04625	
172	-5.99929	0.0645749	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	1.85	0.874886	-3.56773	3540	32340
4	7.96	3.31247	-1.453	24720	53520
5	2.37	-2.2428	-0.107958	16980	45780
6	3.95	-0.912018	-4.29127	24720	53520
7	2.61	-0.142228	0.183118	25980	54780
8	2.04	1.64337	1.74393	4680	33480
9	6.35	-0.00744026	0.00228154	15180	43980
10	6.76	0.984285	0.218544	4380	33180
11	6.13	-0.727734	0.643796	5820	34620
12	3.98	-0.00545904	0.0243443	1140	29940
13	6.55	0.701995	1.16916	11700	40500
14	6.81	1.25197	-0.0357974	25680	54480
15	4.8	-0.575139	0.757128	11040	39840
16	4.23	-1.32945	1.35101	24840	53640
17	7.77	3.49574	-3.37366	23160	51960
18	2.45	0.398671	0.171447	10140	38940
19	2.37	1.69084	-3.31419	28140	56940
20	6.06	-2.68582	-1.55958	300	29100
21	3.06	-1.8105	-0.0053689	22620	51420
22	0.22	0.207727	-0.033108	15300	44100
23	1.62	0.141815	1.85982	3780	32580
24	0.53	-2.28243	3.32502	3900	32700
25	2.76	0.112305	0.00423641	8460	37260
26	7.33	0.363703	-1.7986	18360	47160
27	7.98	-3.35961	-5.07898	4260	33060
28	2.49	-0.838172	0.0521496	3300	32100
29	3.66	0.0573553	0.367032	17820	46620
30	4.29	0.0120896	0.0134465	6960	35760
31	3.13	1.23073	-0.136611	15360	44160
32	5.41	-1.21916	-1.1379	7080	35880
33	7.22	1.48786	-1.08649	1020	29820
34	6.13	-3.35087	0.857979	21540	50340
35	2.59	-0.645199	0.0185923	5460	34260
36	5.86	4.26938	-4.08848	3720	32520
37	7.45	-3.1605	-1.455	28380	57180
38	7.26	1.23247	0.381015	13080	41880
39	3.21	2.07719	0.215899	11700	40500
40	7.48	1.97197	2.30926	7500	36300
41	0.8	-0.825471	-1.31303	5820	34620
42	0.86	-0.945968	1.34275	120	28920
43	3.35	0.178222	0.956778	19740	48540
44	3.66	0.0167179	-3.55644	28680	57480
45	3.26	-0.906182	-0.0198885	8460	37260
46	0.14	0.0736474	0.263421	19560	48360
47	2.5	-0.00105976	-0.0107054	16080	44880
48	6.07	1.80952	-0.498338	3360	32160
49	4.7	4.14172	-2.00936	28500	57300
50	1.55	-2.39774	-5.53686	1380	30180
51	1.4	-0.445409	1.71091	11100	39900
52	7.39	0.162346	1.40242	2040	30840
53	1.81	-1.18065	-0.651789	17400	46200
54	0.25	-1.03544	0.146756	16140	44940
55	3.14	-0.712529	-1.34633	14520	43320
56	1.86	0.432771	-1.52221	1920	30720
57	1.32	-0.650388	0.625053	3480	32280
58	4.75	0.437653	-0.810166	28440	57240
59	1.44	-3.33697	0.873321	10800	39600
60	1.63	-1.1056	-2.14604	22380	51180
61	3.51	1.05485	0.148471	22200	51000
62	3.93	-4.1977	0.788235	12420	41220
63	5.02	-0.0791387	0.390792	2580	31380
64	3.5	-5.59008	-1.2205	60	28860
65	7	1.14371	-1.54721	3000	31800
66	5.1	-3.24154	-0.832806	1920	30720
67	4.1	-0.0907687	0.276877	3180	31980
68	7.23	-0.346639	-0.300051	3060	31860
69	4.14	-0.0300971	0.454264	2640	31440
70	6.05	-0.18384	-0.142418	13860	42660
71	5.85	0.517787	-3.77566	13320	42120
72	7.53	0.00284788	-1.61389	960	29760
73	3.57	-3.33795	3.57039	6300	35100
74	0.34	0.614902	2.07734	5460	34260
75	5.45	-1.59591	-0.510167	26100	54900
76	7.07	-2.21892	2.38745	14460	43260
77	3.9	0.0463411	1.89738	10200	39000
78	4.2	0.73114	0.482011	13140	41940
79	4.67	1.00947	0.815262	1800	30600
80	1.09	-0.372621	-0.543781	21780	50580
81	1.42	-0.134874	-0.107673	11880	40680
82	2.34	2.07044	-0.180744	17160	45960
83	0.12	-0.0586715	-0.239429	26700	55500
84	1.02	-4.66568	5.08014	7440	36240
85	3.43	0.942757	-1.80015	1980	30780
86	7.48	-0.930257	-0.624043	17880	46680
87	2.31	1.18147	0.51395	13140	41940
88	3.28	-3.35652	1.13847	19020	47820
89	5.58	0.492937	-0.844206	12660	41460
90	3.2	1.52658	-2.19164	4440	33240
91	2.88	-1.39571	0.158592	3420	32220
92	6.7	-0.667878	-0.246955	17880	46680
93	2.18	0.833884	-1.51256	14160	42960
94	6.08	-1.4427	3.45307	1500	30300
95	1.19	0.323181	0.00256397	3240	32040
96	3.01	-5.19644	-4.95741	13620	42420
97	2.45	1.57872	-1.56857	10380	39180
98	1.4	1.74767	0.981893	3720	32520
99	7.28	-6.77272	1.04241	2040	30840
100	1.95	0.252505	-1.75328	24840	53640
101	4.03	-2.37383	3.70518	15600	44400
102	1.17	5.74071	0.851199	420	29220
