nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
73	3	20	50	25	6	4	5	1	1	1400	60	5	30	0.2	0.5
No.	x-cord	y-cord
0	-5.10494	-4.35842	
1	-6.12051	-2.99138	
2	3.97003	-5.06844	
No.	x-cord	y-cord
53	3.5949	5.75999	
54	4.88472	0.507708	
55	-0.467073	0.258837	
56	1.20328	-2.41676	
57	1.48468	2.27975	
58	-5.37917	3.27576	
59	1.91746	-3.65023	
60	0.406199	6.14622	
61	0.48903	-2.6353	
62	2.58736	2.23834	
63	5.18184	2.77498	
64	2.06966	2.49658	
65	1.75275	-2.03109	
66	-3.1017	2.61979	
67	-2.89804	-2.28145	
68	-0.198103	0.771032	
69	2.13281	3.85446	
70	-0.998239	0.882098	
71	-0.346904	0.0928963	
72	6.50932	-1.89713	
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	1.37	-0.131227	-0.092325	2820	10020
4	4.9	1.05232	2.65687	6120	13320
5	5.86	0.720827	-1.33177	9000	16200
6	2.93	0.191063	-0.777051	12840	20040
7	2.94	0.242445	0.656612	10680	17880
8	4.99	-0.266123	0.0388539	24960	32160
9	7.66	0.195007	0.927083	26640	33840
10	7.8	-0.209904	2.25212	5220	12420
11	0.2	0.6125	-0.304799	28260	35460
12	2.14	-1.95355	-0.274904	26040	33240
13	3.4	1.27952	-0.845356	28140	35340
14	4.71	-0.536488	0.0387972	12540	19740
15	1.41	-0.497664	2.73169	4020	11220
16	1.5	2.01869	3.02814	11760	18960
17	3.61	3.53594	-3.41671	20700	27900
18	2.28	2.16325	0.523581	9960	17160
19	6.52	-0.505517	-1.28158	12180	19380
20	4.72	2.06017	0.185055	20160	27360
21	2.16	-3.89531	1.48302	20280	27480
22	7.74	0.24168	1.30421	15420	22620
23	4.01	-0.33815	0.818964	720	7920
24	1.64	-2.85807	4.02155	11880	19080
25	6.13	-0.303103	-0.815011	720	7920
26	2.8	1.0586	0.531422	27360	34560
27	5.9	-0.305422	-0.298559	13320	20520
28	6.34	-2.07352	0.851404	21480	28680
29	4.16	7.20478	0.649856	13140	20340
30	2.82	0.564627	-1.72214	21000	28200
31	4.27	-2.08827	2.03825	25680	32880
32	6.42	-0.0222123	-0.00552383	22980	30180
33	6.64	1.43963	-0.440126	3360	10560
34	2	1.06509	-0.166763	8640	15840
35	1.04	1.47372	-2.08949	14160	21360
36	0.15	0.00602104	-0.303905	23160	30360
37	7.47	-4.34167	4.8444	24660	31860
38	2.68	-1.03351	-0.454697	28020	35220
39	4.61	-1.24032	-2.40054	2400	9600
40	3.87	0.242296	-0.57846	16620	23820
41	5.38	-1.13561	-1.95508	2100	9300
42	4.72	1.81451	-4.45794	10320	17520
43	5.97	-0.256844	-1.58428	16200	23400
44	3.6	-5.12161	4.06672	21840	29040
45	4.47	4.54616	-1.83511	25620	32820
46	7.3	-0.0622281	0.0195717	21180	28380
47	7.81	0.101916	0.0964346	24300	31500
48	7.4	1.03768	0.473921	2580	9780
49	1.17	-2.12439	1.82153	12420	19620
50	5.71	-0.518573	-0.0643753	6420	13620
51	0.57	-3.95441	-3.90286	25260	32460
52	5.43	-0.0148142	-0.263493	2940	10140
