nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
162	2	10	150	25	6	4	5	1	1	1400	60	5	30	0.20	0.50
No.	x-cord	y-cord
0	16.14	20.21
1	13.04	8.03
No.	x-cord	y-cord
152	10.16	4.43
153	12.98	1.05
154	16.82	19.57
155	7.28	8.70
156	17.60	10.21
157	0.36	12.30
158	18.88	18.20
159	4.29	15.66
160	2.72	16.40
161	8.19	21.36
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	1.01	8.34	19.12	23962.00	52762.00
3	6.45	17.80	11.28	22973.00	51773.00
4	7.47	9.81	3.38	21065.00	49865.00
5	4.46	21.01	16.85	18656.00	47456.00
6	6.75	9.22	9.90	19766.00	48566.00
7	4.86	5.89	17.92	18816.00	47616.00
8	9.17	16.09	20.48	22760.00	51560.00
9	7.12	15.76	8.91	20153.00	48953.00
10	4.71	17.76	8.32	19440.00	48240.00
11	4.37	15.50	10.88	23258.00	52058.00
12	2.84	1.22	9.80	23194.00	51994.00
13	4.46	18.54	19.74	14700.00	43500.00
14	7.30	18.73	16.21	21883.00	50683.00
15	6.04	17.51	13.12	18219.00	47019.00
16	1.64	7.70	7.09	16758.00	45558.00
17	4.60	9.30	5.70	18256.00	47056.00
18	4.78	2.24	13.98	21950.00	50750.00
19	7.30	18.19	10.91	18959.00	47759.00
20	4.63	9.09	4.20	21364.00	50164.00
21	5.61	9.27	19.59	25067.00	53867.00
22	3.70	11.26	0.80	16473.00	45273.00
23	9.32	0.45	10.26	19197.00	47997.00
24	7.82	12.67	2.09	24415.00	53215.00
25	5.29	11.41	1.40	24871.00	53671.00
26	3.50	12.55	4.12	15471.00	44271.00
27	5.91	4.38	8.59	24478.00	53278.00
28	4.82	8.90	4.10	22204.00	51004.00
29	4.90	9.21	8.62	16119.00	44919.00
30	9.28	12.40	2.13	24327.00	53127.00
31	1.36	6.88	22.83	16579.00	45379.00
32	1.13	3.99	16.44	23711.00	52511.00
33	8.87	5.63	20.05	17731.00	46531.00
34	3.04	18.30	8.88	18839.00	47639.00
35	9.93	18.47	12.63	16883.00	45683.00
36	2.63	10.20	3.45	23516.00	52316.00
37	4.60	0.02	17.24	18529.00	47329.00
38	6.36	18.58	19.75	17501.00	46301.00
39	6.31	3.89	18.77	25158.00	53958.00
40	2.26	10.68	4.50	24078.00	52878.00
41	9.10	2.46	19.27	15976.00	44776.00
42	9.47	21.68	17.43	16425.00	45225.00
43	1.25	13.49	1.55	23171.00	51971.00
44	1.34	16.37	20.66	18449.00	47249.00
45	7.95	19.36	17.49	19229.00	48029.00
46	2.67	10.34	20.75	25133.00	53933.00
47	4.07	11.58	4.92	18172.00	46972.00
48	4.69	7.03	6.07	17341.00	46141.00
49	4.03	15.20	9.95	18093.00	46893.00
50	2.71	15.74	0.07	24035.00	52835.00
51	7.98	5.86	13.77	22907.00	51707.00
52	7.40	18.65	8.16	21602.00	50402.00
53	6.30	18.24	8.45	15387.00	44187.00
54	6.62	7.85	10.33	14723.00	43523.00
55	3.56	9.80	19.62	20740.00	49540.00
56	6.14	1.06	17.10	16954.00	45754.00
57	9.13	18.12	12.79	15273.00	44073.00
58	7.45	4.79	18.34	20213.00	49013.00
59	9.74	8.68	10.67	25000.00	53800.00
60	6.22	15.68	8.91	23718.00	52518.00
61	3.11	2.06	14.40	16523.00	45323.00
62	5.43	8.29	8.23	24983.00	53783.00
63	9.65	20.33	9.11	20352.00	49152.00
64	5.04	5.63	6.96	17231.00	46031.00
65	8.46	15.02	9.29	22406.00	51206.00
66	5.96	9.76	7.69	23756.00	52556.00
67	4.72	10.32	22.77	20347.00	49147.00
68	3.06	4.89	10.22	19510.00	48310.00
69	3.92	11.92	4.14	22679.00	51479.00
70	5.21	15.46	10.38	22698.00	51498.00
71	4.22	10.76	2.00	14847.00	43647.00
72	6.24	17.79	18.65	16247.00	45047.00
73	4.71	11.97	6.23	16467.00	45267.00
74	7.12	5.89	20.16	19586.00	48386.00
75	8.14	15.99	8.50	23593.00	52393.00
76	8.83	4.75	9.60	24912.00	53712.00
77	8.40	8.42	22.51	17274.00	46074.00
78	8.08	8.24	6.38	19814.00	48614.00
79	6.35	16.25	11.11	21588.00	50388.00
80	6.55	19.61	19.00	20291.00	49091.00
81	6.12	5.84	13.26	16470.00	45270.00
82	1.49	9.20	18.75	21350.00	50150.00
83	5.37	7.21	10.51	23098.00	51898.00
84	4.13	13.36	1.64	17335.00	46135.00
85	9.50	8.10	9.66	19467.00	48267.00
86	5.60	11.30	1.74	18885.00	47685.00
87	5.99	16.02	10.03	22780.00	51580.00
88	4.54	9.09	10.17	16445.00	45245.00
89	2.68	1.58	9.77	23436.00	52236.00
90	2.44	8.84	6.07	19372.00	48172.00
91	9.94	8.51	3.83	22981.00	51781.00
92	4.94	1.53	13.65	19891.00	48691.00
93	8.66	1.31	17.64	20486.00	49286.00
94	9.21	19.50	16.69	24474.00	53274.00
95	3.28	10.29	0.50	22174.00	50974.00
96	7.34	7.74	11.29	24855.00	53655.00
97	2.63	17.02	20.57	15019.00	43819.00
98	2.59	20.10	17.31	17740.00	46540.00
99	4.48	20.61	17.93	24663.00	53463.00
100	2.43	13.34	1.75	20746.00	49546.00
101	1.53	9.80	22.75	23962.00	52762.00
102	8.41	16.82	19.95	17939.00	46739.00
103	5.00	0.96	13.61	23651.00	52451.00
104	1.18	7.38	9.85	18943.00	47743.00
105	2.74	19.61	12.30	19110.00	47910.00
106	8.55	5.64	22.84	16603.00	45403.00
107	9.02	8.92	3.96	21800.00	50600.00
108	5.40	14.80	10.77	23639.00	52439.00
109	4.74	9.75	19.79	20481.00	49281.00
110	8.07	18.28	18.77	14446.00	43246.00
111	1.59	9.49	5.95	20507.00	49307.00
112	5.90	15.15	19.12	17488.00	46288.00
113	1.89	8.53	3.25	19045.00	47845.00
114	9.68	13.71	2.17	15377.00	44177.00
115	9.97	17.51	17.74	17577.00	46377.00
116	7.25	5.57	21.05	15481.00	44281.00
117	2.59	3.37	17.64	15348.00	44148.00
118	6.77	16.09	22.36	16687.00	45487.00
119	2.59	14.88	1.29	15053.00	43853.00
120	9.84	16.51	9.26	23989.00	52789.00
121	5.34	10.20	2.53	20303.00	49103.00
122	2.34	14.30	20.42	22753.00	51553.00
123	5.61	5.56	7.13	24524.00	53324.00
124	7.25	1.55	16.99	23409.00	52209.00
125	1.10	6.20	19.88	20402.00	49202.00
126	1.49	19.64	20.10	18719.00	47519.00
127	2.86	9.59	9.38	22998.00	51798.00
128	7.73	5.86	14.31	16597.00	45397.00
129	4.73	19.28	8.59	23152.00	51952.00
130	5.20	6.28	15.40	23515.00	52315.00
131	4.05	1.43	18.96	20270.00	49070.00
132	4.88	20.41	17.07	15802.00	44602.00
133	5.94	15.14	10.71	24602.00	53402.00
134	9.09	14.78	2.94	18447.00	47247.00
135	2.75	13.49	0.39	17110.00	45910.00
136	7.89	10.30	2.78	14733.00	43533.00
137	3.42	16.47	8.86	22573.00	51373.00
138	5.31	4.60	17.44	22019.00	50819.00
139	8.16	17.66	16.22	19214.00	48014.00
140	7.13	14.61	17.86	22296.00	51096.00
141	4.64	2.98	16.24	16022.00	44822.00
142	7.35	18.24	10.83	21125.00	49925.00
143	4.55	9.54	7.13	15962.00	44762.00
144	2.76	1.26	16.50	16210.00	45010.00
145	6.69	17.79	12.41	18926.00	47726.00
146	3.74	15.91	11.76	19274.00	48074.00
147	8.12	10.08	2.52	24210.00	53010.00
148	2.84	3.38	19.11	16869.00	45669.00
149	4.83	6.87	6.10	19648.00	48448.00
150	6.48	9.82	8.74	19907.00	48707.00
151	2.20	18.11	18.53	22285.00	51085.00
