nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
172	2	20	150	25	6	4	5	1	1	1400	60	5	30	0.20	0.50
No.	x-cord	y-cord
0	11.78	13.88
1	1.48	22.86
No.	x-cord	y-cord
152	10.93	4.55
153	21.88	6.00
154	7.57	7.88
155	20.50	22.28
156	13.99	12.90
157	19.26	1.25
158	10.38	6.44
159	20.89	1.49
160	4.39	10.66
161	20.96	18.85
162	10.57	8.52
163	13.09	14.97
164	4.89	13.87
165	18.19	8.53
166	1.73	14.32
167	19.38	10.43
168	9.94	9.05
169	5.97	2.57
170	11.10	20.70
171	14.40	20.71
No.	p-weight	x-cord	y-cord	t-start	t-stop
2	5.03	18.25	8.69	23316.00	52116.00
3	1.77	21.59	21.48	16846.00	45646.00
4	2.14	4.44	15.60	16064.00	44864.00
5	8.20	6.01	1.61	23164.00	51964.00
6	3.65	9.84	21.31	20886.00	49686.00
7	6.92	21.60	0.59	20225.00	49025.00
8	2.60	4.24	9.89	21268.00	50068.00
9	9.97	8.40	9.96	22947.00	51747.00
10	7.61	13.66	22.76	16201.00	45001.00
11	9.34	14.02	13.73	19924.00	48724.00
12	8.89	7.11	0.64	21570.00	50370.00
13	5.03	17.98	11.92	23103.00	51903.00
14	9.35	4.37	8.51	17944.00	46744.00
15	3.46	20.19	10.70	15059.00	43859.00
16	8.02	3.88	12.52	23743.00	52543.00
17	9.22	11.04	3.37	15953.00	44753.00
18	5.03	10.02	7.94	17229.00	46029.00
19	3.83	17.46	6.71	15316.00	44116.00
20	8.91	17.08	6.36	24704.00	53504.00
21	2.61	16.64	7.42	18195.00	46995.00
22	9.17	21.19	2.54	22604.00	51404.00
23	2.84	2.09	13.89	18703.00	47503.00
24	6.26	21.15	19.54	24072.00	52872.00
25	6.56	19.92	1.03	18527.00	47327.00
26	7.94	3.57	13.41	24607.00	53407.00
27	5.73	2.63	11.61	16965.00	45765.00
28	3.17	6.88	12.41	21578.00	50378.00
29	6.27	18.06	8.11	16514.00	45314.00
30	6.80	17.64	0.71	16510.00	45310.00
31	2.39	12.22	19.47	23992.00	52792.00
32	5.17	11.21	4.41	20948.00	49748.00
33	3.41	21.36	12.03	19602.00	48402.00
34	6.50	14.63	15.48	14869.00	43669.00
35	5.28	16.21	10.36	15788.00	44588.00
36	9.77	7.81	2.96	25068.00	53868.00
37	9.70	19.21	19.55	19140.00	47940.00
38	3.84	13.41	10.05	15002.00	43802.00
39	5.18	10.16	19.29	18315.00	47115.00
40	1.64	12.88	18.44	14811.00	43611.00
41	5.05	5.76	9.67	24532.00	53332.00
42	6.98	13.15	18.52	14742.00	43542.00
43	6.27	19.68	2.62	24983.00	53783.00
44	4.40	12.22	9.11	24233.00	53033.00
45	7.83	20.81	20.77	24013.00	52813.00
46	7.51	14.03	19.08	16652.00	45452.00
47	2.81	11.11	12.55	20682.00	49482.00
48	6.70	11.74	6.49	18803.00	47603.00
49	6.35	19.30	7.58	18371.00	47171.00
50	7.01	21.73	5.81	22595.00	51395.00
51	8.76	11.73	9.36	15796.00	44596.00
52	3.46	18.90	2.74	20807.00	49607.00
53	4.54	3.60	7.86	15097.00	43897.00
54	1.55	10.56	22.40	18046.00	46846.00
55	5.29	20.26	12.05	23852.00	52652.00
56	8.80	18.45	19.09	25199.00	53999.00
57	9.36	21.60	16.26	23788.00	52588.00
58	3.06	19.96	2.80	20088.00	48888.00
59	4.39	7.22	4.01	17204.00	46004.00
60	1.28	13.54	4.95	22276.00	51076.00
61	3.61	20.42	2.83	14911.00	43711.00
62	9.85	12.38	8.31	22293.00	51093.00
63	4.18	6.61	1.05	22871.00	51671.00
64	1.42	11.43	19.07	15262.00	44062.00
65	3.75	18.59	20.72	21165.00	49965.00
66	8.92	5.92	10.20	19672.00	48472.00
67	3.79	13.17	15.29	22714.00	51514.00
68	7.85	20.40	21.25	22323.00	51123.00
69	1.18	12.69	12.14	25119.00	53919.00
70	7.90	11.93	2.83	17164.00	45964.00
71	1.15	3.44	2.46	23029.00	51829.00
72	1.41	12.58	3.05	24969.00	53769.00
73	7.91	11.74	21.82	24128.00	52928.00
74	4.89	1.60	15.19	15882.00	44682.00
75	7.16	15.24	22.55	18396.00	47196.00
76	4.67	21.24	19.32	20249.00	49049.00
77	5.03	10.73	7.07	16866.00	45666.00
78	8.43	7.49	6.19	18003.00	46803.00
79	4.41	3.60	7.98	15188.00	43988.00
80	7.37	3.50	4.12	14617.00	43417.00
81	6.69	5.81	13.31	15425.00	44225.00
82	4.33	21.62	5.95	23521.00	52321.00
83	4.52	20.81	12.09	18075.00	46875.00
84	5.29	20.08	0.12	23137.00	51937.00
85	6.49	5.33	13.11	14414.00	43214.00
86	4.20	14.71	13.14	17375.00	46175.00
87	7.29	14.60	10.56	15863.00	44663.00
88	6.70	9.53	9.03	21061.00	49861.00
89	7.37	11.38	12.79	15552.00	44352.00
90	4.61	12.65	13.37	21775.00	50575.00
91	8.54	20.49	7.23	22194.00	50994.00
92	4.53	14.65	13.90	14644.00	43444.00
93	3.59	15.87	15.15	15607.00	44407.00
94	5.31	4.13	14.98	14429.00	43229.00
95	1.84	11.35	13.34	22159.00	50959.00
96	4.53	12.92	20.76	20707.00	49507.00
97	5.13	10.74	21.75	21386.00	50186.00
98	1.63	18.06	8.05	15599.00	44399.00
99	9.69	19.09	7.42	22358.00	51158.00
100	1.24	14.26	20.13	24365.00	53165.00
101	4.14	20.76	4.77	18480.00	47280.00
102	8.48	6.05	4.85	16168.00	44968.00
103	1.20	21.39	20.89	20432.00	49232.00
104	9.42	18.50	6.07	21559.00	50359.00
105	7.74	21.87	2.19	19064.00	47864.00
106	7.71	13.51	20.74	14682.00	43482.00
107	2.58	14.10	14.89	16965.00	45765.00
108	8.06	21.31	1.26	16135.00	44935.00
109	3.44	6.07	6.98	15265.00	44065.00
110	7.47	10.81	19.18	24156.00	52956.00
111	1.60	3.96	15.16	23422.00	52222.00
112	6.85	16.92	19.95	14725.00	43525.00
113	2.23	12.25	9.06	22770.00	51570.00
114	5.34	9.75	9.23	24321.00	53121.00
115	8.61	16.76	1.64	15781.00	44581.00
116	4.18	15.73	14.63	24159.00	52959.00
117	2.60	18.74	1.86	19421.00	48221.00
118	6.81	4.53	15.40	21242.00	50042.00
119	4.94	15.65	22.80	22146.00	50946.00
120	3.05	9.31	10.37	22017.00	50817.00
121	6.32	6.48	9.76	16435.00	45235.00
122	4.26	5.28	1.25	21498.00	50298.00
123	9.10	7.94	4.86	24833.00	53633.00
124	7.73	9.56	7.56	21931.00	50731.00
125	6.96	12.38	3.12	23433.00	52233.00
126	3.02	18.62	17.79	14472.00	43272.00
127	4.84	4.71	2.24	22045.00	50845.00
128	7.06	17.10	0.71	18732.00	47532.00
129	2.60	13.44	10.62	25129.00	53929.00
130	3.78	9.50	19.46	17555.00	46355.00
131	3.77	19.01	7.15	21362.00	50162.00
132	3.32	13.34	22.21	16140.00	44940.00
133	4.53	8.80	2.15	21302.00	50102.00
134	2.96	0.23	12.54	24516.00	53316.00
135	2.50	21.63	16.95	16171.00	44971.00
136	8.55	12.34	13.99	25129.00	53929.00
137	1.89	17.37	12.24	17791.00	46591.00
138	8.00	11.93	21.01	22910.00	51710.00
139	3.84	10.71	16.18	17448.00	46248.00
140	4.59	10.63	19.12	19527.00	48327.00
141	8.78	13.02	22.65	23578.00	52378.00
142	1.86	16.52	8.56	21238.00	50038.00
143	3.99	10.34	2.22	24667.00	53467.00
144	1.07	11.94	9.29	19246.00	48046.00
145	6.37	0.93	16.88	20444.00	49244.00
146	5.43	19.49	16.78	17240.00	46040.00
147	3.13	21.76	6.53	21042.00	49842.00
148	9.02	3.18	14.05	24501.00	53301.00
149	5.29	2.05	9.29	22781.00	51581.00
150	2.25	20.45	17.08	14626.00	43426.00
151	5.86	7.75	13.38	18740.00	47540.00
