nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
63	3	10	50	25	6	3	3	1	1	1400	60	5	30	0.20	0.50
No.	x-cord	y-cord
0	2.16	13.11
1	7.80	12.69
2	8.25	5.52
No.	x-cord	y-cord
53	13.70	17.68
54	3.38	6.75
55	13.32	22.51
56	9.43	11.67
57	16.17	4.12
58	7.21	17.75
59	4.48	20.80
60	4.14	14.84
61	8.46	21.12
62	5.02	13.04
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	4.74	14.92	17.78	15550.00	44350.00
4	1.35	8.40	16.84	25141.00	53941.00
5	1.44	2.32	5.94	18420.00	47220.00
6	1.60	8.67	12.37	24744.00	53544.00
7	9.08	7.38	10.62	23754.00	52554.00
8	4.45	16.54	2.75	22372.00	51172.00
9	5.58	3.13	16.56	19271.00	48071.00
10	4.44	3.17	7.92	18238.00	47038.00
11	2.75	15.00	19.86	17866.00	46666.00
12	3.68	17.55	3.58	17859.00	46659.00
13	8.87	5.51	13.86	15750.00	44550.00
14	8.20	6.09	6.63	24646.00	53446.00
15	3.03	3.29	13.91	24371.00	53171.00
16	4.19	1.16	6.07	19847.00	48647.00
17	6.37	8.42	12.30	20783.00	49583.00
18	9.52	7.42	14.91	18059.00	46859.00
19	7.11	6.28	19.77	15745.00	44545.00
20	6.90	7.37	16.90	21964.00	50764.00
21	1.37	6.45	11.63	20847.00	49647.00
22	2.66	14.79	18.88	24864.00	53664.00
23	2.87	16.00	16.41	19953.00	48753.00
24	7.39	0.89	6.31	17138.00	45938.00
25	4.15	3.75	12.44	17159.00	45959.00
26	2.42	16.33	18.04	21390.00	50190.00
27	1.86	4.66	10.22	20005.00	48805.00
28	5.75	7.77	17.89	24735.00	53535.00
29	5.18	3.22	12.46	14479.00	43279.00
30	6.24	11.37	16.86	18201.00	47001.00
31	3.93	12.23	18.02	23666.00	52466.00
32	3.41	1.92	8.36	23964.00	52764.00
33	8.85	15.24	1.71	20840.00	49640.00
34	7.90	4.02	11.65	22468.00	51268.00
35	9.42	16.15	22.09	18789.00	47589.00
36	6.93	9.00	14.57	15868.00	44668.00
37	2.54	2.37	20.20	14662.00	43462.00
38	2.22	14.23	17.24	16063.00	44863.00
39	7.94	7.59	10.15	23149.00	51949.00
40	8.99	2.87	17.27	17556.00	46356.00
41	2.75	11.37	22.07	16352.00	45152.00
42	7.92	10.89	10.07	17823.00	46623.00
43	4.57	7.11	19.35	22914.00	51714.00
44	4.79	15.11	3.76	15273.00	44073.00
45	4.49	16.34	3.55	19466.00	48266.00
46	5.30	6.22	12.10	14860.00	43660.00
47	2.39	5.23	5.67	19111.00	47911.00
48	9.16	8.13	19.08	18947.00	47747.00
49	2.30	14.96	22.46	18918.00	47718.00
50	7.08	4.80	10.89	15693.00	44493.00
51	7.05	17.28	5.13	19398.00	48198.00
52	2.50	14.59	17.03	24305.00	53105.00
