nodes	ndep	nstat	ncus	speed1	speed2	nv1	nv2	stv1	stv2	Q	T	dl	ft	cv1	cv2
123	3	20	100	25	6	4	3	1	1	1400	60	5	30	0.20	0.50
No.	x-cord	y-cord
0	9.88	17.70
1	5.76	20.07
2	8.24	4.47
No.	x-cord	y-cord
103	3.55	11.83
104	15.54	6.42
105	6.33	19.26
106	0.04	22.76
107	9.02	8.08
108	12.69	20.67
109	11.91	20.53
110	2.82	20.34
111	18.11	8.86
112	18.94	9.27
113	3.69	0.68
114	0.33	22.37
115	18.62	2.51
116	1.16	1.73
117	16.58	2.39
118	13.98	6.94
119	16.31	2.70
120	19.67	5.07
121	6.27	16.89
122	20.96	3.40
No.	p-weight	x-cord	y-cord	t-start	t-stop
3	6.40	13.70	1.66	17913.00	46713.00
4	1.51	15.40	20.54	23339.00	52139.00
5	2.15	4.00	1.69	24542.00	53342.00
6	6.50	9.00	9.74	21277.00	50077.00
7	4.53	4.78	13.86	21520.00	50320.00
8	3.85	3.40	9.13	18866.00	47666.00
9	2.69	20.52	10.02	18346.00	47146.00
10	6.09	12.56	5.11	18994.00	47794.00
11	9.20	3.70	22.92	15394.00	44194.00
12	4.27	4.32	17.53	17240.00	46040.00
13	9.85	19.86	5.98	24848.00	53648.00
14	1.20	4.73	10.57	17899.00	46699.00
15	7.23	16.10	1.98	24446.00	53246.00
16	1.56	5.53	2.38	18713.00	47513.00
17	6.52	2.01	9.64	24493.00	53293.00
18	7.11	12.77	4.52	16665.00	45465.00
19	8.66	5.97	20.17	21685.00	50485.00
20	8.27	7.46	7.08	19763.00	48563.00
21	1.73	6.38	15.22	21402.00	50202.00
22	9.24	11.72	8.96	20958.00	49758.00
23	7.65	8.74	16.92	20681.00	49481.00
24	1.06	18.92	2.56	19254.00	48054.00
25	2.00	4.27	16.74	18070.00	46870.00
26	8.81	1.48	0.33	15263.00	44063.00
27	5.62	11.70	22.27	17814.00	46614.00
28	9.48	5.05	2.81	16749.00	45549.00
29	2.30	4.20	19.26	19201.00	48001.00
30	9.24	3.55	1.09	15667.00	44467.00
31	4.85	21.57	6.38	15160.00	43960.00
32	9.21	5.89	15.85	18493.00	47293.00
33	1.78	1.36	19.12	18978.00	47778.00
34	6.59	9.75	8.87	17843.00	46643.00
35	8.47	4.62	12.52	19865.00	48665.00
36	4.81	5.41	1.98	14766.00	43566.00
37	2.29	21.27	7.64	24826.00	53626.00
38	9.80	11.83	22.17	22636.00	51436.00
39	8.82	13.72	4.10	21973.00	50773.00
40	9.33	10.14	8.73	20941.00	49741.00
41	2.74	7.07	15.45	22840.00	51640.00
42	4.25	19.20	0.13	17723.00	46523.00
43	3.83	6.83	22.06	23140.00	51940.00
44	4.18	10.16	21.82	23348.00	52148.00
45	7.63	20.17	8.83	19641.00	48441.00
46	5.62	9.66	7.48	20051.00	48851.00
47	9.15	5.18	13.96	17027.00	45827.00
48	4.24	14.68	20.73	18419.00	47219.00
49	5.32	5.28	12.16	23705.00	52505.00
50	3.91	3.82	17.41	18507.00	47307.00
51	3.88	17.94	7.56	21814.00	50614.00
52	2.37	19.19	3.01	23256.00	52056.00
53	2.09	8.02	9.10	21473.00	50273.00
54	2.55	15.41	6.10	21114.00	49914.00
55	8.61	3.26	11.84	21478.00	50278.00
56	7.14	2.88	9.61	22847.00	51647.00
57	4.72	16.54	0.97	24754.00	53554.00
58	8.98	13.74	7.17	17091.00	45891.00
59	7.68	21.00	9.52	22333.00	51133.00
60	1.43	19.79	4.52	22248.00	51048.00
61	1.34	18.94	4.93	21722.00	50522.00
62	2.10	17.73	2.70	22657.00	51457.00
63	2.59	19.10	5.44	15245.00	44045.00
64	5.07	12.72	4.96	16141.00	44941.00
65	1.65	4.23	14.80	19603.00	48403.00
66	6.35	13.63	1.88	21669.00	50469.00
67	4.66	5.96	17.78	15148.00	43948.00
68	2.57	16.86	6.57	16547.00	45347.00
69	6.80	16.60	5.79	20563.00	49363.00
70	2.62	14.85	8.66	19545.00	48345.00
71	4.79	1.87	10.53	16879.00	45679.00
72	7.15	21.65	3.11	19779.00	48579.00
73	4.81	14.11	20.15	20928.00	49728.00
74	6.34	9.38	19.53	25102.00	53902.00
75	7.83	18.44	7.30	22915.00	51715.00
76	3.35	3.81	21.44	19069.00	47869.00
77	8.51	5.35	1.44	18851.00	47651.00
78	3.82	3.12	19.48	24761.00	53561.00
79	4.33	19.81	4.04	20035.00	48835.00
80	1.80	4.58	10.91	14989.00	43789.00
81	8.39	7.35	16.36	19364.00	48164.00
82	4.81	5.83	10.85	15664.00	44464.00
83	6.66	2.57	10.49	14951.00	43751.00
84	6.94	7.09	17.97	15519.00	44319.00
85	7.31	13.12	22.44	18148.00	46948.00
86	6.72	2.38	17.64	22172.00	50972.00
87	5.99	2.57	0.60	21772.00	50572.00
88	6.91	7.76	10.28	21913.00	50713.00
89	5.74	21.53	6.97	19462.00	48262.00
90	4.56	7.61	9.51	18241.00	47041.00
91	5.93	14.75	21.27	23539.00	52339.00
92	8.48	19.86	10.85	20290.00	49090.00
93	3.23	18.09	2.07	16293.00	45093.00
94	1.51	2.51	2.53	22743.00	51543.00
95	4.92	8.54	9.23	22164.00	50964.00
96	9.30	5.93	11.89	20122.00	48922.00
97	1.35	8.20	15.85	15741.00	44541.00
98	6.19	19.66	4.34	20253.00	49053.00
99	2.91	1.15	12.53	25108.00	53908.00
100	5.67	9.81	21.25	17623.00	46423.00
101	6.73	11.58	8.51	19367.00	48167.00
102	4.62	14.18	9.60	15101.00	43901.00
